zi,is_zi,n_strokes,id_kangxi,meaning,pinyin,term,examples,variant,n_frequency,category
土,1,3,32,earth,tǔ,提土旁,地、圣、圭、堯,,,
士,1,3,33,soldier / scholar ,shì,,壬、喜、時、壽,,,
夕,1,3,36,evening,xī,,外、夗、多、岁,,,
大,1,3,37,big,dà,,太、天、夭、夯,,,
女,1,3,38,woman,nǚ,,妳、婆、奶、如,,,
子,1,3,39,son / child,zǐ,子字旁,孩、學、孔、仔,,,
寸,1,3,41,inch,cùn,,村、寺、封、射,,,
小,1,3,,small,xiǎo,当字头,少、尖、當、栄,⺌ ⺍,,
尸,1,3,44,corpse,shī,,屍、尺、尼、尻,,,
山,1,3,46,mountain,shān,,嵗、密、峰、幽,,,
川,1,3,,river,chuān,,川、州、順、災,巛 巜,,
工,1,3,48,work,gōng,,左、巧、功、式,,,
己,1,3,49,oneself,jǐ,,記、改、忌、龍,,,
已,1,3,,already,,,,,,
巾,1,3,50,turban / cloth,jīn,巾字儿,市、帥、刷、砸,,,
干,1,3,51,dry,gān,,旱、开、平、年,,,
乡,1,3,,village,,,,,,
幺,1,3,,small / short thread,yāo,,幻、麼、幽、幾,么,,
广,1,3,53,broad / wide / shelter / dotted cliff,guǎng / yǎn,广字旁,庀、庂、庄,,,
廾,1,3,55,arch / two hands,gǒng,弄字底,廿、弁、弄,,,
弋,1,3,56,shoot,yì,,弌、弍、弎,,,
弓,1,3,57,bow / arrow,gōng,弓字旁,弔、引、弗,,,
才,1,3,,talent,,,,,,
犭,1,3,,dog,quǎn,反犬旁,犮、犯、犰,,,
门,1,3,, door/gate,mén,,,門,,
飞,1,3,,fly,fēi,,,飛,,
马,1,3,,horse,mǎ,,,馬,,
攴,0,4,, tap / strike / rap,pū / pō,,收、攷、攸,,,
攵,0,4,, tap / rap,pū,,收、攷、攸,,,
旡,0,4,,not,wú,,既、旣、旤,,,
朩,0,4,,,,,,,,
殳,0,4,79,weapon,shū,,段、殷、殺,,,
灬,0,4,,fire,huǒ,四点底 火字旁,灰、灯、灶,,,
爫,0,4,,claw,zhǎo,受字头,爬、爭、爰,,,
爻,0,4,89,line / trigrams,yáo,,爼、爽、爾,,,
爿,0,4,,split wood / piece of wood,qiáng,将字旁,牀、牁、牂,,,
⺧,0,4,,cow,niú,牛字旁,牝、牟、牠,,,
牜,0,4,,cow,niú,牛字旁,牝、牟、牠,,,
⺩,0,4,,jade,yù,,,,,
礻,0,4,,spirit,shì,示字旁,礼、礽、社,,,
禸,0,4,114,track,róu,,禹、禺、离,,,
罓,0,4,,net,wǎng,,罔、罕、罘,,,
耂,0,4,,old,lǎo,老字头,考、者、耆,,,
不,1,4,,,,,,,,
丑,1,4,,ugly,chǒu,,,,,
专,1,4,,,,,,,,
中,1,4,,,,,,,,
丰,1,4,,,,,,,,
为,1,4,,,,,,,,
乌,1,4,,,,,,,,
云,1,4,,,,,,,,
五,1,4,,,,,,,,
井,1,4,,,,,,,,
亢,1,4,,,,,,,,
今,1,4,,,,,,,,
介,1,4,,,,,,,,
仓,1,4,,,,,,,,
以,1,4,,,,,,,,
元,1,4,,,,,,,,
公,1,4,,,,,,,,
六,1,4,,,,,,,,
内,1,4,,,,,,,,
冈,1,4,,,,,,,,
凶,1,4,,,,,,,,
分,1,4,,,,,,,,
办,1,4,,,,,,,,
勾,1,4,,,,,,,,
勿,1,4,,,,,,,,
匀,1,4,,,,,,,,
匹,1,4,,,,,,,,
区,1,4,,,,,,,,
升,1,4,,,,,,,,
午,1,4,,,,,,,,
友,1,4,,,,,,,,
天,1,4,,,,,,,,
太,1,4,,,,,,,,
夫,1,4,,,,,,,,
少,1,4,,,,,,,,
尤,1,4,,,,,,,,
尺,1,4,,,,,,,,
屯,1,4,,,,,,,,
巨,1,4,,,,,,,,
巴,1,4,,,,,,,,
开,1,4,,,,,,,,
