zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en,is_ele
瞒,7084,,目,,艹,两,,,,,,,2024-01-27 21:48:08,平目也。从目㒼聲。,Y,2101,in HSK,,0
南,7573,,,,十,冂,丫,,𢆉,,,二,2024-01-27 00:08:51,艸木至南方，有枝任也。从𣎵𢆉聲。,Y,3857,in HSK,,0
榖,4062,士,冖 一,木,,,,,殳,,,,2024-01-23 21:56:06,楮也。从木㱿聲。,Y,3507,,,0
羸,6353,,,月,亡,口,羊,,,凡,,,2024-01-20 18:14:51,瘦也。从羊𣎆聲。,Y,2340,,,0
朴,8212,,木,,,,,,,,,,2024-01-15 13:17:32,木皮也。从木卜聲。,Y,3555,in HSK,,0
鷇,6024,士,冖一,鸟,,,,,殳,,,,2024-01-20 18:05:02,鳥子生哺者。从鳥𣪊聲。,Y,2470,,,0
稽,4894,,禾,,尤,,旨,,,,,,2024-01-25 21:14:32,畱止也。从𥝌从尤，旨聲。凡稽之屬皆从稽。,Y,3873,in HSK,,0
旗,8268,,方,,丿 一,其,,,,,,,2024-01-27 21:53:45,熊旗五游，以象罰星，士卒以爲期。从㫃其聲。《周禮》曰：“率都建旗。”,Y,4263,in HSK,,0
机,210,,木,,,,,,,,,,2024-01-15 12:51:06,木也。从木几聲。,Y,3533,in HSK,,0
黱,2787,,月,,丷,夫,黑,,,,,,2024-01-21 21:37:07,畫眉也。从黑朕聲。,Y,6536,,,0
峱,7600,,犭,,丑,,山,,,,,,2024-01-20 05:09:20,山，在齊地。从山狃聲。《詩》曰：“遭我于峱之間兮。”,Y,5823,,,0
布,1928,丿,,,一,巾,,,,,,,2024-01-14 15:14:47,枲織也。从巾父聲。,Y,4888,in HSK,,1
淫,12024,,氵,,爫,,壬,,,,,,2024-01-28 13:21:09,侵淫隨理也。从水㸒聲。一曰久雨爲淫。,Y,7186,in HSK,,0
滕,983,,月,,丷,夫,水 ,,,,,,2024-01-18 01:49:19,水超涌也。从水朕聲。,Y,7135,,,0
襄,10985,,,,,衣,,,,,,,2024-01-18 23:57:37,漢令：解衣耕謂之襄。从衣𤕦聲。,Y,5298,incomplete,,0
漦,6404,未,,,, 厂,水,攵,,,,,2024-01-18 01:50:38,順流也。一曰水名。从水𠩺聲。,Y,7108,,,0
宿,9680,,亻,,宀,百,,,,,,,2024-01-27 12:44:46,止也。从宀𠈇聲。𠈇，古文夙。,Y,4581,in HSK,,0
奥,1376,,,,丿,冂,大,,,,,米,2024-01-25 01:38:12,宛也。室之西南隅。从宀𢍏聲。,Y,4542,in HSK,,0
嫠,6397,未,,,,厂,女,攵,,,,,2024-01-18 21:27:37,無夫也。从女𠩺聲。,Y,8312,,,0
柩,5615,,木,,,,,,,,匸,久,,棺也。从匚从木，久聲。,Y,8399,,,0
彀,4029,士,冖 一,弓,,,,,殳,,,,2024-01-21 21:51:49,張弩也。从弓𣪊聲。,Y,8457,,,0
縠,4560,士,冖一,糸,,,,,殳,,,,2024-01-21 00:49:24,細縛也。从糸𣪊聲。,Y,8552,,,0
蠜,3457,木 ,,,爻,大,虫,木 ,,,,,2024-01-18 22:26:49,𨸏蠜也。从虫樊聲。,Y,8794,,,0
蠃,7019,,,月,亡,口,虫,,,凡,,,2024-01-18 22:27:54,蜾蠃也。从虫𣎆聲。一曰虒蝓。,Y,8810,,,0
塍,2262,,月,,丷,夫,土,,,,,,2024-01-18 22:14:12,稻中畦也。从土朕聲。,Y,8996,,,0
在,120,,,,,土,,,,,,,2024-01-15 12:43:24,存也。从土才聲。,Y,9021,in HSK,,0
成,2264,,,,,,,,戊,,,,2024-01-15 12:56:46,就也。从戊丁聲。,Y,9700,"in HSK, incomplete",,0
存,2696,,,,,子,,,,,,,2024-01-15 13:00:00,恤問也。从子才聲。,Y,9729,"in HSK, incomplete",,0
涅,7726,,氵,,日,,土,,,,,,,黑土在水中也。从水从土，日聲。,Y,7197,,,0
孤,4043,,子,,,,,,,,,,2024-11-30 22:55:32,,Y,9728,,,0
毁,43,臼,,工,,殳,,,,,,,2024-01-27 18:33:16,,Y,,from HSK,to destroy;  to ruin/to defame,0
锁,65,,钅,,小,贝,,,,,,,2024-01-27 17:06:40,,Y,,from HSK,to lock;  to lock up/a lock (CL:把[ba3]),0
获,110,,犭,,艹,,,,犬,,,,2024-01-27 08:31:05,,Y,,from HSK,(literary) to catch;  to capture/(literary) to get;  (bound form) to reap;  to harvest,0
石,183,丿,,,一,口,,,,,,,2024-01-14 15:02:29,,Y,,from HSK,dry measure for grain equal to ten dou 斗[dou3];  one hundred liters/ancient pr. [shi2],1
满,740,,氵,,艹,两,,,,,,,2024-01-27 21:27:21,,Y,,from HSK,Manchu ethnic group,0
那,777,,,,,,,,阝,,,,2024-01-16 22:45:27,,Y,,"from HSK, incomplete",surname Na,0
瘪,1795,疒,,,,自,仑,,,,,,2024-01-25 01:42:59,,Y,,from HSK,deflated/shriveled/sunken/empty,0
厨,2426,厂,,,,豆,,,寸,,,,2024-01-25 01:55:43,,Y,,from HSK,kitchen,0
船,2478,,舟,,八,,口,,,,,,2024-01-27 12:04:49,,Y,,from HSK,"boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",0
春,2522,,,,,三,日,,,,,八,2024-01-26 17:00:04,,Y,,from HSK,spring (season)/gay/joyful/youthful/love/lust/life,0
囱,2603,,,,丿,囗,,,,,,夕,2024-02-10 17:43:55,,Y,,from HSK,chimney,0
弟,2977,,,丿,丷,弔,,,,,,,2024-01-18 02:03:38,,Y,,from HSK,younger brother/junior male/I (modest word in letter),0
段,3218,,,,,殳,,,,,,,2024-01-26 23:41:58,,Y,,from HSK / incomplete,"paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc",0
罚,3415,,讠,,罒,,,,刂,,,,2024-01-26 23:42:51,,Y,,from HSK,to punish/to penalize,0
侯,4506,,亻,,乛 一,,矢,,,,,,2024-01-27 17:27:39,,Y,,from HSK,"marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4]/nobleman; high official",0
将,5234,,丬,,夕,,寸,,,,,,2024-01-27 01:00:44,,Y,,from HSK,"will/shall/to use/to take/to checkmate/just a short while ago/(introduces object of main verb, used in the same way as 把[ba3])",0
解,5426,,角,,刀,,牛,,,,,,2024-01-27 18:52:34,,Y,,from HSK,to divide/to break up/to split/to separate/to dissolve/to solve/to melt/to remove/to untie/to loosen/to open/to emancipate/to explain/to understand/to know/a solution/a dissection,0
金,5458,,,,人,王,,,,,,丷,2024-01-26 16:07:52,,Y,,from HSK,gold/chemical element Au/generic term for lustrous and ductile metals/money/golden/highly respected/one of the eight categories of ancient musical instruments 八音[ba1 yin1],1
局,5651,,,,尸,㇆,,,,,,口,2024-01-18 02:16:38,,Y,,from HSK,"office/situation/classifier for games: match, set, round etc",0
举,5675,,,,兴,二,,,,,,丨,2024-01-27 01:06:10,,Y,,from HSK,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect/act/move/deed,0
楞,6385,,木,,罒,,方,,,,,,2024-01-28 15:01:10,,Y,,from HSK,"variant of 稜|棱[leng2], corner/square beam/edge/arris (curve formed by two surfaces meeting at an edge)/used in 楞迦[Leng2 jia1], Sri Lanka",0
黎,6430,禾,,,,人,水,勹 丿,,,,,2024-01-27 21:45:13,,Y,,from HSK,(literary) black/dark/many/multitude,0
炼,6568,,火,,,东,,,,,,一,2024-01-27 01:08:47,,Y,,from HSK,to refine/to smelt,0
隆,6811,,阝,,夂,一,生,,,,,,2024-01-25 21:55:04,,Y,,from HSK,sound of drums,0
卤,6889,,,,卜,囗,,,,,,乂,2024-01-27 23:53:43,,Y,,from HSK,to stew in soy sauce and spices,1
率,6962,冫,,,玄,,十,冫,,,,,2024-01-25 22:24:22,,Y,,from HSK,rate/frequency,0
铅,8389,,钅,,几,,口,,,,,,2024-01-27 09:13:25,,Y,,from HSK,lead (chemistry),0
乾,8398,十,日,十,,乞,,,,,,,2024-01-28 12:05:11,,Y,,from HSK,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)",0
寝,8576,,丬,,宀,彐 冖,又,,,,,,2024-01-28 15:08:13,,Y,,from HSK,to lie down,0
散,9027,井,,月,,攵,,,,,,,2024-01-27 17:45:58,,Y,,from HSK,scattered/loose/to come loose/to fall apart/leisurely/powdered medicine,0
涩,9065,,氵,,刃,,止,,,,,,2024-01-28 12:06:53,,Y,,from HSK,astringent/tart/acerbity/unsmooth/rough (surface)/hard to understand/obscure,0
