zi,is_zi,id_kangxi,meaning,pinyin,n_strokes,term,examples,variant,n_frequency,category,sub_category
万,1,,ten thousand,,3,,,,2,数理-计算,number
丈,1,,meter,,3,,,,2,数理-度量,
三,1,,three / many,,3,,,,7,数理-计算,number
上,1,,upper,,3,,,,3,数理-时空,location
下,1,,down,,3,,,,3,数理-时空,location
与,1,,,,3,,,,2,,
个,1,,piece,,3,,,,0,,
丸,1,,,,3,,,,5,概念-,
义,1,,,,3,,,,3,概念-,
久,1,,long,,3,,,,6,概念-,
么,1,,short thread,yāo,3,,幻、麼、幽、幾,,0,,
之,1,,,,3,,,,4,概念-,
乞,1,,,,3,,,,8,社会-,
也,1,,,,3,,,,13,概念-,
习,1,,,,3,,,,2,社会-,education
于,1,,at,,3,,,,10,概念-,
亏,1,,loss,,3,,,,7,概念-,
亡,1,,,,3,,,,18,概念-,
刃,1,,,,3,,,,8,社会-,tool
勺,1,,,,3,,,,14,社会-,tool
千,1,,thousand,,3,,,,10,数理-计算,number
叉,1,,,,3,,,,3,社会-,tool
及,1,,and,,3,,,,11,概念-,
口,1,30.0,mouth / opening,kǒu,3,,哎、古、只、品,,300,人-生理,mouth
囗,1,31.0,enclosure,wāng / wéi,3,国字框,囚、四、國、圍,,22,数理-时空,location
土,1,32.0,earth,tǔ,3,提土旁,地、圣、圭、堯,,143,天文-土,
士,1,33.0,soldier / scholar ,shì,3,,壬、喜、時、壽,,22,社会-,soldier
夕,1,36.0,evening,xī,3,,外、夗、多、岁,,17,天文-,
大,1,37.0,big,dà,3,,太、天、夭、夯,,44,概念-,
女,1,38.0,woman,nǚ,3,,妳、婆、奶、如,,137,人-,human
子,1,39.0,son / child,zǐ,3,子字旁,孩、學、孔、仔,,28,人-伦理,family
寸,1,41.0,inch,cùn,3,,村、寺、封、射,,31,数理-度量,
小,1,,small,xiǎo,3,当字头,少、尖、當、栄,⺌ ⺍,22,概念-,
尸,1,44.0,corpse,shī,3,,屍、尺、尼、尻,,27,人-生理,body
山,1,46.0,mountain,shān,3,,嵗、密、峰、幽,,65,地理-,
川,1,,river,chuān,3,,川、州、順、災,巛 巜,6,地理-,
