元字,meaning,pinyin,phono,strokes,alias,n_freq,Fib_Num,频率,类别,子类别,sample,tag,is_zi,notes,term,id_kangxi
自,self,zì,zi,6,,9,34,9,人-,self,臬、臭、臯,,1.0,,,132
子,son / child,zǐ,zi,3,,28,34,27,人-伦理,family,孩、學、孔、仔,Y,1.0,,子字旁,39
忄,heart / emotion,xīn,xin,3,心,116,34,116,人-心理,mind,忉、忌,,0.0,,竖心旁,61
心,heart / mind,xīn,xin,4,忄 ⺗ 㣺,84,34,83,人-心理,mind,必、忉、忌,,1.0,,竖心旁,61
眉,eyebrow/upper margin,mei2,mei,9,,5,34,5,人-生理,,媚楣,,,,,
血,blood,xuè / xiě,xue,6,,6,34,6,人-生理,blood,衁、衂、衃,M,1.0,,,143
尸,corpse,shī,shi,3,,27,34,27,人-生理,body,屍、尺、尼、尻,M,1.0,,,44
身,body,shēn,shen,7,,5,34,5,人-生理,body,躬、躭、躰,,1.0,,,158
骨,bone,gǔ,gu,9,,16,34,16,人-生理,bone,骫、骭、骯,,1.0,,,188
耳,ear,ěr,er,6,,31,34,31,人-生理,ear,耴、耵、耷,M,1.0,,,128
目,eye,mù,mu,5,⺫,79,34,78,人-生理,eye,盯、盱、盲,,1.0,,目字旁,109
面,face,miàn,mian,9,靣,5,34,5,人-生理,face,靤、靦、靧,,1.0,,,176
肉,meat / flesh,ròu,rou,6,⺼,3,34,2,人-生理,flesh,肊、肋、然,,1.0,,,130
立,stand,lì,li,5,,34,34,32,人-生理,foot,竑、竒、竘,,1.0,,,117
彡,hair / bristle / feathery appearances,shān,shan,3,,23,34,23,人-生理,hair,"形 (xíng, shape/form) and 彩 (cǎi, color/variety)、彤、彥",,0.0,,三撇儿,59
毛,fur / hair,máo,mao,4,彡,22,34,20,人-生理,hair,毡、毣、毧,,1.0,,,82
扌,hand / hold,shǒu,shou,3,手,261,34,261,人-生理,hand,扎、扐,,0.0,,提手旁,64
又,hand / again,yòu,you,2,攴 攵扌手,73,34,62,人-生理,hand,叉、及、友、取,,1.0,,,29
手,hand,shǒu,shou,4,扌 龵,18,34,16,人-生理,hand,才、扎、扐,,1.0,,提手旁,64
头,head / top ,tóu,tou,5,,2,34,2,人-生理,head,买 实,,1.0,,,-1
首,head,shǒu,shou,9,,2,34,2,人-生理,head,馗、䭫、馘,,1.0,,,185
