id,unicode,browser,sample,name
139,U+2763,❣,,heart exclamation
140,U+1F494,💔,,broken heart
141,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,,heart on fire
142,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,,mending heart
143,U+2764,❤,,red heart
144,U+1FA77,🩷,,pink heart
145,U+1F9E1,🧡,,orange heart
146,U+1F49B,💛,,yellow heart
147,U+1F49A,💚,,green heart
148,U+1F499,💙,,blue heart
149,U+1FA75,🩵,,light blue heart
150,U+1F49C,💜,,purple heart
151,U+1F90E,🤎,,brown heart
152,U+1F5A4,🖤,,black heart
153,U+1FA76,🩶,,grey heart
154,U+1F90D,🤍,,white heart
155,U+1F48B,💋,,kiss mark
156,U+1F4AF,💯,,hundred points
157,U+1F4A2,💢,,anger symbol
158,U+1F4A5,💥,,collision
159,U+1F4AB,💫,,dizzy
160,U+1F4A6,💦,,sweat droplets
161,U+1F4A8,💨,,dashing away
162,U+1F573,🕳,,hole
163,U+1F4AC,💬,,speech balloon
164,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,,eye in speech bubble
165,U+1F5E8,🗨,,left speech bubble
166,U+1F5EF,🗯,,right anger bubble
167,U+1F4AD,💭,,thought balloon
168,U+1F4A4,💤,,ZZZ
169,U+1F44B,👋,,waving hand
170,U+1F91A,🤚,,raised back of hand
171,U+1F590,🖐,,hand with fingers splayed
172,U+270B,✋,,raised hand
173,U+1F596,🖖,,vulcan salute
174,U+1FAF1,🫱,,rightwards hand
175,U+1FAF2,🫲,,leftwards hand
176,U+1FAF3,🫳,,palm down hand
177,U+1FAF4,🫴,,palm up hand
178,U+1FAF7,🫷,,leftwards pushing hand
179,U+1FAF8,🫸,,rightwards pushing hand
180,U+1F44C,👌,,OK hand
181,U+1F90C,🤌,,pinched fingers
182,U+1F90F,🤏,,pinching hand
183,U+270C,✌,,victory hand
184,U+1F91E,🤞,,crossed fingers
185,U+1FAF0,🫰,,hand with index finger and thumb crossed
186,U+1F91F,🤟,,love-you gesture
187,U+1F918,🤘,,sign of the horns
188,U+1F919,🤙,,call me hand
189,U+1F448,👈,,backhand index pointing left
190,U+1F449,👉,,backhand index pointing right
191,U+1F446,👆,,backhand index pointing up
192,U+1F595,🖕,,middle finger
193,U+1F447,👇,,backhand index pointing down
194,U+261D,☝,,index pointing up
195,U+1FAF5,🫵,,index pointing at the viewer
196,U+1F44D,👍,,thumbs up
197,U+1F44E,👎,,thumbs down
198,U+270A,✊,,raised fist
199,U+1F44A,👊,,oncoming fist
200,U+1F91B,🤛,,left-facing fist
201,U+1F91C,🤜,,right-facing fist
202,U+1F44F,👏,,clapping hands
203,U+1F64C,🙌,,raising hands
204,U+1FAF6,🫶,,heart hands
205,U+1F450,👐,,open hands
206,U+1F932,🤲,,palms up together
207,U+1F91D,🤝,,handshake
208,U+1F64F,🙏,,folded hands
209,U+270D,✍,,writing hand
210,U+1F485,💅,,nail polish
211,U+1F933,🤳,,selfie
212,U+1F4AA,💪,,flexed biceps
213,U+1F9BE,🦾,,mechanical arm
214,U+1F9BF,🦿,,mechanical leg
215,U+1F9B5,🦵,,leg
216,U+1F9B6,🦶,,foot
217,U+1F442,👂,,ear
218,U+1F9BB,🦻,,ear with hearing aid
219,U+1F443,👃,,nose
220,U+1F9E0,🧠,,brain
221,U+1FAC0,🫀,,anatomical heart
222,U+1FAC1,🫁,,lungs
223,U+1F9B7,🦷,,tooth
224,U+1F9B4,🦴,,bone
225,U+1F440,👀,,eyes
226,U+1F441,👁,,eye
227,U+1F445,👅,,tongue
228,U+1F444,👄,,mouth
229,U+1FAE6,🫦,,biting lip
230,U+1F476,👶,,baby
231,U+1F9D2,🧒,,child
232,U+1F466,👦,,boy
233,U+1F467,👧,,girl
234,U+1F9D1,🧑,,person
235,U+1F471,👱,,person: blond hair
236,U+1F468,👨,,man
237,U+1F9D4,🧔,,person: beard
238,U+1F9D4 U+200D U+2642 U+FE0F,🧔‍♂️,,man: beard
239,U+1F9D4 U+200D U+2640 U+FE0F,🧔‍♀️,,woman: beard
240,U+1F468 U+200D U+1F9B0,👨‍🦰,,man: red hair
241,U+1F468 U+200D U+1F9B1,👨‍🦱,,man: curly hair
242,U+1F468 U+200D U+1F9B3,👨‍🦳,,man: white hair
243,U+1F468 U+200D U+1F9B2,👨‍🦲,,man: bald
244,U+1F469,👩,,woman
245,U+1F469 U+200D U+1F9B0,👩‍🦰,,woman: red hair
246,U+1F9D1 U+200D U+1F9B0,🧑‍🦰,,person: red hair
247,U+1F469 U+200D U+1F9B1,👩‍🦱,,woman: curly hair
248,U+1F9D1 U+200D U+1F9B1,🧑‍🦱,,person: curly hair
249,U+1F469 U+200D U+1F9B3,👩‍🦳,,woman: white hair
250,U+1F9D1 U+200D U+1F9B3,🧑‍🦳,,person: white hair
251,U+1F469 U+200D U+1F9B2,👩‍🦲,,woman: bald
252,U+1F9D1 U+200D U+1F9B2,🧑‍🦲,,person: bald
253,U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,,woman: blond hair
254,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,,man: blond hair
255,U+1F9D3,🧓,,older person
256,U+1F474,👴,,old man
257,U+1F475,👵,,old woman
258,U+1F64D,🙍,,person frowning
259,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,,man frowning
260,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,,woman frowning
261,U+1F64E,🙎,,person pouting
262,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,,man pouting
263,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,,woman pouting
264,U+1F645,🙅,,person gesturing NO
265,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,,man gesturing NO
266,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,,woman gesturing NO
267,U+1F646,🙆,,person gesturing OK
268,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,,man gesturing OK
269,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,,woman gesturing OK
270,U+1F481,💁,,person tipping hand
271,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,,man tipping hand
272,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,,woman tipping hand
273,U+1F64B,🙋,,person raising hand
274,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,,man raising hand
275,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,,woman raising hand
276,U+1F9CF,🧏,,deaf person
277,U+1F9CF U+200D U+2642 U+FE0F,🧏‍♂️,,deaf man
278,U+1F9CF U+200D U+2640 U+FE0F,🧏‍♀️,,deaf woman
279,U+1F647,🙇,,person bowing
280,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,,man bowing
281,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,,woman bowing
282,U+1F926,🤦,,person facepalming
283,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,,man facepalming
284,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,,woman facepalming
285,U+1F937,🤷,,person shrugging
286,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,,man shrugging
287,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,,woman shrugging
288,U+1F9D1 U+200D U+2695 U+FE0F,🧑‍⚕️,,health worker
289,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,,man health worker
290,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,,woman health worker
291,U+1F9D1 U+200D U+1F393,🧑‍🎓,,student
292,U+1F468 U+200D U+1F393,👨‍🎓,,man student
293,U+1F469 U+200D U+1F393,👩‍🎓,,woman student
294,U+1F9D1 U+200D U+1F3EB,🧑‍🏫,,teacher
295,U+1F468 U+200D U+1F3EB,👨‍🏫,,man teacher
296,U+1F469 U+200D U+1F3EB,👩‍🏫,,woman teacher
297,U+1F9D1 U+200D U+2696 U+FE0F,🧑‍⚖️,,judge
298,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,,man judge
299,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,,woman judge
300,U+1F9D1 U+200D U+1F33E,🧑‍🌾,,farmer
301,U+1F468 U+200D U+1F33E,👨‍🌾,,man farmer
302,U+1F469 U+200D U+1F33E,👩‍🌾,,woman farmer
303,U+1F9D1 U+200D U+1F373,🧑‍🍳,,cook
304,U+1F468 U+200D U+1F373,👨‍🍳,,man cook
305,U+1F469 U+200D U+1F373,👩‍🍳,,woman cook
306,U+1F9D1 U+200D U+1F527,🧑‍🔧,,mechanic
307,U+1F468 U+200D U+1F527,👨‍🔧,,man mechanic
308,U+1F469 U+200D U+1F527,👩‍🔧,,woman mechanic
309,U+1F9D1 U+200D U+1F3ED,🧑‍🏭,,factory worker
310,U+1F468 U+200D U+1F3ED,👨‍🏭,,man factory worker
311,U+1F469 U+200D U+1F3ED,👩‍🏭,,woman factory worker
312,U+1F9D1 U+200D U+1F4BC,🧑‍💼,,office worker
313,U+1F468 U+200D U+1F4BC,👨‍💼,,man office worker
314,U+1F469 U+200D U+1F4BC,👩‍💼,,woman office worker
315,U+1F9D1 U+200D U+1F52C,🧑‍🔬,,scientist
316,U+1F468 U+200D U+1F52C,👨‍🔬,,man scientist
317,U+1F469 U+200D U+1F52C,👩‍🔬,,woman scientist
318,U+1F9D1 U+200D U+1F4BB,🧑‍💻,,technologist
319,U+1F468 U+200D U+1F4BB,👨‍💻,,man technologist
320,U+1F469 U+200D U+1F4BB,👩‍💻,,woman technologist
321,U+1F9D1 U+200D U+1F3A4,🧑‍🎤,,singer
322,U+1F468 U+200D U+1F3A4,👨‍🎤,,man singer
323,U+1F469 U+200D U+1F3A4,👩‍🎤,,woman singer
324,U+1F9D1 U+200D U+1F3A8,🧑‍🎨,,artist
325,U+1F468 U+200D U+1F3A8,👨‍🎨,,man artist
326,U+1F469 U+200D U+1F3A8,👩‍🎨,,woman artist
327,U+1F9D1 U+200D U+2708 U+FE0F,🧑‍✈️,,pilot
328,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,,man pilot
329,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,,woman pilot
330,U+1F9D1 U+200D U+1F680,🧑‍🚀,,astronaut
331,U+1F468 U+200D U+1F680,👨‍🚀,,man astronaut
332,U+1F469 U+200D U+1F680,👩‍🚀,,woman astronaut
333,U+1F9D1 U+200D U+1F692,🧑‍🚒,,firefighter
334,U+1F468 U+200D U+1F692,👨‍🚒,,man firefighter
335,U+1F469 U+200D U+1F692,👩‍🚒,,woman firefighter
336,U+1F46E,👮,,police officer
337,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,,man police officer
338,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,,woman police officer
339,U+1F575,🕵,,detective
340,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,,man detective
341,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,,woman detective
342,U+1F482,💂,,guard
343,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,,man guard
344,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,,woman guard
345,U+1F977,🥷,,ninja
346,U+1F477,👷,,construction worker
347,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,,man construction worker
348,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,,woman construction worker
349,U+1FAC5,🫅,,person with crown
350,U+1F934,🤴,,prince
351,U+1F478,👸,,princess
352,U+1F473,👳,,person wearing turban
353,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,,man wearing turban
354,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,,woman wearing turban
355,U+1F472,👲,,person with skullcap
356,U+1F9D5,🧕,,woman with headscarf
357,U+1F935,🤵,,person in tuxedo
358,U+1F935 U+200D U+2642 U+FE0F,🤵‍♂️,,man in tuxedo
359,U+1F935 U+200D U+2640 U+FE0F,🤵‍♀️,,woman in tuxedo
360,U+1F470,👰,,person with veil
361,U+1F470 U+200D U+2642 U+FE0F,👰‍♂️,,man with veil
362,U+1F470 U+200D U+2640 U+FE0F,👰‍♀️,,woman with veil
363,U+1F930,🤰,,pregnant woman
364,U+1FAC3,🫃,,pregnant man
365,U+1FAC4,🫄,,pregnant person
366,U+1F931,🤱,,breast-feeding
367,U+1F469 U+200D U+1F37C,👩‍🍼,,woman feeding baby
368,U+1F468 U+200D U+1F37C,👨‍🍼,,man feeding baby
369,U+1F9D1 U+200D U+1F37C,🧑‍🍼,,person feeding baby
370,U+1F47C,👼,,baby angel
371,U+1F385,🎅,,Santa Claus
372,U+1F936,🤶,,Mrs. Claus
373,U+1F9D1 U+200D U+1F384,🧑‍🎄,,mx claus
374,U+1F9B8,🦸,,superhero
375,U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,,man superhero
376,U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,,woman superhero
377,U+1F9B9,🦹,,supervillain
378,U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,,man supervillain
379,U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,,woman supervillain
380,U+1F9D9,🧙,,mage
381,U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,,man mage
382,U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,,woman mage
383,U+1F9DA,🧚,,fairy
384,U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,,man fairy
385,U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,,woman fairy
386,U+1F9DB,🧛,,vampire
387,U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,,man vampire
388,U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,,woman vampire
389,U+1F9DC,🧜,,merperson
390,U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,,merman
391,U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,,mermaid
392,U+1F9DD,🧝,,elf
393,U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,,man elf
394,U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,,woman elf
395,U+1F9DE,🧞,,genie
396,U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,,man genie
397,U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,,woman genie
398,U+1F9DF,🧟,,zombie
399,U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,,man zombie
400,U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,,woman zombie
401,U+1F9CC,🧌,,troll
402,U+1F486,💆,,person getting massage
403,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,,man getting massage
404,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,,woman getting massage
405,U+1F487,💇,,person getting haircut
406,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,,man getting haircut
407,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,,woman getting haircut
408,U+1F6B6,🚶,,person walking
409,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,,man walking
410,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,,woman walking
414,U+1F9CD,🧍,,person standing
415,U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,,man standing
416,U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,,woman standing
417,U+1F9CE,🧎,,person kneeling
418,U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,,man kneeling
419,U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,,woman kneeling
423,U+1F9D1 U+200D U+1F9AF,🧑‍🦯,,person with white cane
425,U+1F468 U+200D U+1F9AF,👨‍🦯,,man with white cane
427,U+1F469 U+200D U+1F9AF,👩‍🦯,,woman with white cane
429,U+1F9D1 U+200D U+1F9BC,🧑‍🦼,,person in motorized wheelchair
431,U+1F468 U+200D U+1F9BC,👨‍🦼,,man in motorized wheelchair
433,U+1F469 U+200D U+1F9BC,👩‍🦼,,woman in motorized wheelchair
435,U+1F9D1 U+200D U+1F9BD,🧑‍🦽,,person in manual wheelchair
437,U+1F468 U+200D U+1F9BD,👨‍🦽,,man in manual wheelchair
439,U+1F469 U+200D U+1F9BD,👩‍🦽,,woman in manual wheelchair
441,U+1F3C3,🏃,,person running
442,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,,man running
443,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,,woman running
447,U+1F483,💃,,woman dancing
448,U+1F57A,🕺,,man dancing
449,U+1F574,🕴,,person in suit levitating
450,U+1F46F,👯,,people with bunny ears
451,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,,men with bunny ears
452,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,,women with bunny ears
453,U+1F9D6,🧖,,person in steamy room
454,U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,,man in steamy room
455,U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,,woman in steamy room
456,U+1F9D7,🧗,,person climbing
457,U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,,man climbing
458,U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,,woman climbing
459,U+1F93A,🤺,,person fencing
460,U+1F3C7,🏇,,horse racing
461,U+26F7,⛷,,skier
462,U+1F3C2,🏂,,snowboarder
463,U+1F3CC,🏌,,person golfing
464,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,,man golfing
465,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,,woman golfing
466,U+1F3C4,🏄,,person surfing
467,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,,man surfing
468,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,,woman surfing
469,U+1F6A3,🚣,,person rowing boat
470,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,,man rowing boat
471,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,,woman rowing boat
472,U+1F3CA,🏊,,person swimming
473,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,,man swimming
474,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,,woman swimming
475,U+26F9,⛹,,person bouncing ball
476,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,,man bouncing ball
477,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,,woman bouncing ball
478,U+1F3CB,🏋,,person lifting weights
479,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,,man lifting weights
480,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,,woman lifting weights
481,U+1F6B4,🚴,,person biking
482,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,,man biking
483,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,,woman biking
484,U+1F6B5,🚵,,person mountain biking
485,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,,man mountain biking
486,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,,woman mountain biking
487,U+1F938,🤸,,person cartwheeling
488,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,,man cartwheeling
489,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,,woman cartwheeling
490,U+1F93C,🤼,,people wrestling
491,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,,men wrestling
492,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,,women wrestling
493,U+1F93D,🤽,,person playing water polo
494,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,,man playing water polo
495,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,,woman playing water polo
496,U+1F93E,🤾,,person playing handball
497,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,,man playing handball
498,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,,woman playing handball
499,U+1F939,🤹,,person juggling
500,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,,man juggling
501,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,,woman juggling
502,U+1F9D8,🧘,,person in lotus position
503,U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,,man in lotus position
504,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,,woman in lotus position
505,U+1F6C0,🛀,,person taking bath
506,U+1F6CC,🛌,,person in bed
507,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,🧑‍🤝‍🧑,,people holding hands
508,U+1F46D,👭,,women holding hands
509,U+1F46B,👫,,woman and man holding hands
510,U+1F46C,👬,,men holding hands
511,U+1F48F,💏,,kiss
512,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,,"kiss: woman, man"
513,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,,"kiss: man, man"
514,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,,"kiss: woman, woman"
515,U+1F491,💑,,couple with heart
516,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,,"couple with heart: woman, man"
517,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,,"couple with heart: man, man"
518,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,,"couple with heart: woman, woman"
519,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,,"family: man, woman, boy"
520,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,,"family: man, woman, girl"
521,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,,"family: man, woman, girl, boy"
522,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,,"family: man, woman, boy, boy"
523,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,,"family: man, woman, girl, girl"
524,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,,"family: man, man, boy"
