link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-RU-R-RD,4,侵,8548,,亻,,,,,彐,冖,又,,,2025-02-16 11:28:15,,Y,,from HSK,to invade/to encroach/to infringe/to approach
L-RU-R-RD,4,傻,9096,,亻,,,,,囟,八,夂,,,2025-02-16 12:18:57,,Y,,from HSK,foolish
L-RU-R-RD,4,勝,13740,,月,,,,,丷,夫,力,,,2025-02-16 12:30:03,任也。从力朕聲。,Y,,,
L-RU-R-RD,4,幐,13680,,月,,,,,丷,夫,巾,,,2025-02-16 12:28:27,囊也。从巾朕聲。,Y,,,
L-RU-R-RD,4,得,2897,,彳,,,,,日,一,寸,,,2025-02-16 09:13:59,行有所得也。从彳㝵聲。,Y,1253,in HSK,
L-RU-R-RD,4,德,2899,,彳,,,,,十罒,一,心,,,2025-02-16 09:19:30,升也。从彳㥁聲。,Y,1223,in HSK,
L-RU-R-RD,4,浸,5481,,氵,,,,,彐,冖,又,,,2025-02-16 11:28:00,,Y,,from HSK,to immerse/to soak/to steep/gradually
L-RU-R-RD,4,隆,6811,,阝,,,,,夂,一,生,,,2025-02-16 11:23:04,,Y,,from HSK,sound of drums
