link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LU-M,2,疴,5932,疒,,,,可,,,,,,,,病也。从疒可聲。《五行傳》曰：“時卽有口痾。”,Y,4678,,
LU-M,2,疵,2571,疒,,,,此,,,,,,,,病也。从疒此聲。,Y,4688,,
LU-M,2,疸,2753,疒,,,,旦,,,,,,,,黃病也。从疒旦聲。,Y,4751,,
LU-M,2,疼,156,疒,,,,冬,,,,,,,2024-01-27 09:59:17,,Y,,from HSK,(it) hurts;  sore/to love dearly
LU-M,2,疽,5634,疒,,,,且,,,,,,,,癰也。从疒且聲。,Y,4717,,
LU-M,2,疾,306,疒,,,,矢,,,,,,,,病也。从疒矢聲。,Y,4674,in HSK,
LU-M,2,痁,3029,疒,,,,占,,,,,,,,有熱瘧。从疒占聲。《春秋傳》曰：“齊侯疥，遂痁。”,Y,4727,,
LU-M,2,痂,5061,疒,,,,加,,,,,,,,疥也。从疒加聲。,Y,4723,,
LU-M,2,病,1848,疒,,,,丙,,,,,,,,疾加也。从疒丙聲。,Y,4676,in HSK,
LU-M,2,症,12938,疒,,,,正,,,,,,,2024-01-27 09:35:14,,Y,,from HSK,disease/illness
LU-M,2,痊,8755,疒,,,,全,,,,,,,2024-01-28 13:05:42,,Y,,from HSK,to recover (from illness)
LU-M,2,痍,11838,疒,,,,夷,,,,,,,,傷也。从疒夷聲。,Y,4743,,
LU-M,2,痎,5369,疒,,,,亥,,,,,,,,二日一發瘧。从疒亥聲。,Y,4728,,
LU-M,2,痏,10475,疒,,,,有,,,,,,,,疻痏也。从疒有聲。,Y,4739,,
LU-M,2,痒,11668,疒,,,,羊,,,,,,,,瘍也。从疒羊聲。,Y,4697,in HSK,
LU-M,2,痔,13043,疒,,,,寺,,,,,,,,後病也。从疒寺聲。,Y,4730,,
LU-M,2,痕,4441,疒,,,,艮,,,,,,,,胝瘢也。从疒艮聲。,Y,4745,in HSK,
LU-M,2,痘,3156,疒,,,,豆,,,,,,,2024-01-28 14:52:56,,Y,,from HSK,pimple/pustule
LU-M,2,痛,10173,疒,,,,甬,,,,,,,2024-02-18 19:35:33,病也。从疒甬聲。,Y,4675,in HSK,不通则痛
LU-M,2,痞,8050,疒,,,,否,,,,,,,,痛也。从疒否聲。,Y,4753,,
LU-M,2,痡,8194,疒,,,,甫,,,,,,,,病也。从疒甫聲。《詩》曰：“我僕痡矣。”,Y,4679,,
LU-M,2,痢,6493,疒,,,,利,,,,,,,2024-01-28 15:01:36,,Y,,from HSK,dysentery
LU-M,2,痤,2706,疒,,,,坐,,,,,,,,小腫也。从疒坐聲。一曰族絫。,Y,4716,,
LU-M,2,痪,4686,疒,,,,奂,,,,,,,2024-01-28 14:55:18,,Y,,from HSK,illness/numbness of the limbs
LU-M,2,痰,9868,疒,,,,炎,,,,,,,2024-01-27 19:09:40,,Y,,from HSK,phlegm/spittle
LU-M,2,痱,3539,疒,,,,非,,,,,,,,風病也。从疒非聲。,Y,4714,,
LU-M,2,痳,6680,疒,,,,林,,,,,,,,疝病。从疒林聲。,Y,4729,,
LU-M,2,痴,2296,疒,,,,知,,,,,,,2024-01-28 14:50:51,,Y,,from HSK,imbecile/sentimental/stupid/foolish/silly
LU-M,2,痵,5006,疒,,,,季,,,,,,,,气不定也。从疒季聲。,Y,4713,,
LU-M,2,痹,1677,疒,,,,𢌿,,,,,,,,溼病也。从疒𢌿聲。,Y,4732,in HSK,
LU-M,2,痿,10476,疒,,,,委,,,,,,,,痹也。从疒委聲。,Y,4731,,
LU-M,2,瘀,12226,疒,,,,於,,,,,,,,積血也。从疒於聲。,Y,4706,,
LU-M,2,瘃,13176,疒,,,,豖,,,,,,,,中寒腫覈。从疒豖聲。,Y,4734,,
LU-M,2,瘉,12347,疒,,,,俞,,,,,,,,病瘳也。从疒俞聲。,Y,4772,,
LU-M,2,瘌,6199,疒,,,,剌,,,,,,,,楚人謂藥毒曰痛瘌。从疒剌聲。,Y,4768,,
LU-M,2,瘏,10202,疒,,,,者,,,,,,,,病也。从疒者聲。《詩》曰：“我馬瘏矣。”,Y,4690,,
LU-M,2,瘕,5099,疒,,,,叚,,,,,,,,女病也。从疒叚聲。,Y,4724,,
LU-M,2,瘖,11997,疒,,,,音,,,,,,,,不能言也。从疒音聲。,Y,4702,,
LU-M,2,瘚,5780,疒,,,,欮,,,,,,,2024-01-21 12:30:31,屰气也。从疒从屰从欠。,Y,4712,,
LU-M,2,瘛,2347,疒,,,,恝,,,,,,,,小兒瘛瘲病也。从疒恝聲。,Y,4763,,
LU-M,2,瘜,10735,疒,,,,息,,,,,,,,寄肉也。从疒息聲。,Y,4720,,
LU-M,2,瘢,1456,疒,,,,般,,,,,,,,痍也。从疒般聲。,Y,4744,,
LU-M,2,瘤,6779,疒,,,,留,,,,,,,2024-01-25 21:53:48,,Y,,from HSK,tumor
LU-M,2,瘥,2080,疒,,,,𢀩,,,,,,,,瘉也。从疒𢀩聲。,Y,4770,,
LU-M,2,瘦,9447,疒,,,,叟,,,,,,,2024-01-27 21:58:48,,Y,,from HSK,thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive
LU-M,2,瘨,3007,疒,,,,眞,,,,,,,,病也。从疒眞聲。一曰腹張。,Y,4682,,
LU-M,2,瘩,2736,疒,,,,荅,,,,,,,2024-01-25 01:59:57,,Y,,from HSK,sore/boil/scab
LU-M,2,瘳,2378,疒,,,,翏,,,,,,,,疾瘉也。从疒翏聲。,Y,4773,,
LU-M,2,瘵,12709,疒,,,,祭,,,,,,,,病也。从疒祭聲。,Y,4681,,
LU-M,2,瘼,7472,疒,,,,莫,,,,,,,,病也。从疒莫聲。,Y,4683,,
LU-M,2,癃,6820,疒,,,,隆,,,,,,,,罷病也。从疒隆聲。,Y,4761,,
LU-M,2,癎,10915,疒,,,,閒,,,,,,,,病也。从疒閒聲。,Y,4686,,
LU-M,2,癞,6226,疒,,,,赖,,,,,,,2024-01-28 13:32:02,,Y,,from HSK,scabies/skin disease
LU-M,2,癣,11367,疒,,,,鲜,,,,,,,2024-01-28 13:50:05,,Y,,from HSK,ringworm/Taiwan pr. [xian3]
LU-M,2,白,1430,丿,,,,日,,,,,,,2024-01-14 15:04:55,,Y,,from HSK,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera
LU-M,2,眉,7193,尸,,,,目,,,,,,,2024-01-27 01:11:04,,Y,,from HSK,eyebrow/upper margin
LU-M,2,矢,9376,丿,,,,天,,,,,,,2024-01-27 23:59:18,,Y,,from HSK,arrow/dart/straight/to vow/to swear/old variant of 屎[shi3]
LU-M,2,肩,5134,户,,,,月,,,,,,,2024-01-26 22:36:17,,Y,,from HSK,shoulder/to shoulder (responsibilities etc)
LU-M,2,虒,9586,𠂆,,,,虎,,,,,,,2024-01-20 21:25:36,委虒，虎之有角者也。从虎𠂆聲。,Y,3115,,
LU-M,2,𠩗,13691,厂,,,,㳄,,,,,,,2024-01-21 12:37:14,歠也。从㳄厂聲。讀若移。,Y,,,
LU-M,2,𠩘,13804,厂,,,,夾,,,,,,,2024-01-21 22:40:10,𠪮也。从厂夾聲。,Y,,,
LU-M,2,𠪙,13805,厂,,,,異,,,,,,,2024-01-21 22:42:22,石利也。从厂異聲。讀若枲。,Y,,,
LU-M,2,𢦔,13794,才,,,,戈,,,,,,,2024-01-21 22:02:43,傷也。从戈才聲。,Y,,,
