link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LD-M,2,迣,13069,,,辶,,丗,,,,,,,,迾也。晉趙曰迣。从辵丗聲。讀若寘。,Y,1187,,
LD-M,2,迥,5576,,,辶,,冋,,,,,,,,遠也。从辵冋聲。,Y,1199,,
LD-M,2,迪,2950,,,辶,,由,,,,,,,,道也。从辵由聲。,Y,1131,,
LD-M,2,迫,7870,,,辶,,白,,,,,,,,近也。从辵白聲。,Y,1181,in HSK,
LD-M,2,迭,3091,,,辶,,失,,,,,,,,更迭也。从辵失聲。一曰达。,Y,1165,,
LD-M,2,述,9515,,,辶,,术,,,,,,,,循也。从辵术聲。,Y,1106,in HSK,
LD-M,2,迶,12221,,,辶,,有,,,,,,,2024-01-27 12:46:29,,Y,,,
LD-M,2,迷,7292,,,辶,,米,,,,,,,,或也。从辵米聲。,Y,1166,in HSK,
LD-M,2,迸,1613,,,辶,,并,,,,,,,,散走也。从辵并聲。,Y,1216,,
LD-M,2,迹,5031,,,辶,,亦,,,,,,,,步處也。从辵亦聲。,Y,1092,in HSK,
LD-M,2,迻,11852,,,辶,,多,,,,,,,,遷徙也。从辵多聲。,Y,1135,,
LD-M,2,追,13280,,,辶,,𠂤,,,,,,,,逐也。从辵𠂤聲。,Y,1176,in HSK,
LD-M,2,退,17,,,辶,,艮,,,,,,,2024-01-27 00:44:18,,Y,,from HSK,to retreat;  to withdraw/to reject
LD-M,2,送,97,,,辶,,关,,,,,,,2024-01-27 00:45:42,,Y,,from HSK,to send;  to deliver
LD-M,2,适,9425,,,辶,,舌,,,,,,,2024-01-27 00:15:29,疾也。从辵𠯑聲。讀與括同。,Y,1122,in HSK,
LD-M,2,逃,9954,,,辶,,兆,,,,,,,,亾也。从辵兆聲。,Y,1175,in HSK,
LD-M,2,逅,4526,,,辶,,后,,,,,,,,邂逅也。从辵后聲。,Y,1210,,
LD-M,2,逆,7674,,,辶,,屰,,,,,,,,迎也。从辵屰聲。關東曰逆，關西曰迎。,Y,1123,in HSK,
LD-M,2,选,11368,,,辶,,先,,,,,,,2024-01-27 00:31:06,,Y,,from HSK,to choose/to pick/to select/to elect
LD-M,2,逊,11456,,,辶 孙,,孙,,,,,,,2024-01-28 12:31:10,,Y,,from HSK,to abdicate/modest/yielding/unpretentious/inferior to/(slang) to suck
LD-M,2,逋,1913,,,辶,,甫,,,,,,,,亾也。从辵甫聲。,Y,1172,,
LD-M,2,逍,11042,,,辶,,肖,,,,,,,,逍遥，猶翱翔也。从辵肖聲。,Y,1220,,
LD-M,2,透,40,,,辶,,秀,,,,,,,,跳也。過也。从辵秀聲。,Y,1217,in HSK,
LD-M,2,逐,13184,,,辶,,豕,,,,,,,2024-01-20 23:23:57,追也。从辵，从豚省。,Y,1177,in HSK,
LD-M,2,逑,8666,,,辶,,求,,,,,,,,斂聚也。从辵求聲。《虞書》曰：“㫄逑孱功。”又曰：“怨匹曰逑。”,Y,1168,,
LD-M,2,递,60,,,辶,,弟,,,,,,,2024-01-27 09:58:19,,Y,,from HSK,to hand over;  to pass on
LD-M,2,途,10207,,,辶,,余,,,,,,,2024-01-27 09:27:58,,Y,,from HSK,way/route/road
LD-M,2,逖,10023,,,辶,,狄,,,,,,,,遠也。从辵狄聲。,Y,1198,,
LD-M,2,逗,84,,,辶,,豆,,,,,,,,止也。从辵豆聲。,Y,1152,in HSK,
LD-M,2,通,10138,,,辶,,甬,,,,,,,,達也。从辵甬聲。,Y,1133,in HSK,
LD-M,2,逛,4186,,,辶,,狂,,,,,,,2024-01-28 11:51:43,,Y,,from HSK,to stroll/to visit
LD-M,2,逝,94,,,辶,,折,,,,,,,,往也。从辵折聲。讀若誓。,Y,1104,in HSK,
LD-M,2,逞,2282,,,辶,,呈,,,,,,,,通也。从辵呈聲。楚謂疾行爲逞。《春秋傳》曰：“何所不逞欲。”,Y,1195,in HSK,
LD-M,2,速,9701,,,辶,,束,,,,,,,,疾也。从辵束聲。,Y,1120,in HSK,
LD-M,2,造,12614,,,辶,,告,,,,,,,,就也。从辵告聲。譚長說：造，上士也。,Y,1113,in HSK,
LD-M,2,逡,8802,,,辶,,夋,,,,,,,,復也。从辵夋聲。,Y,1160,,
LD-M,2,逢,3617,,,辶,,夆,,,,,,,2024-01-25 22:07:45,,Y,,from HSK,to meet by chance/to come across/(of a calendar event) to come along/(of an event) to fall on (a particular day)/to fawn upon
LD-M,2,逭,4689,,,辶,,官,,,,,,,,逃也。从辵官聲。,Y,1170,,
LD-M,2,逮,2761,,,辶,,隶,,,,,,,,唐逮，及也。从辵隶聲。,Y,1146,in HSK,
LD-M,2,逯,6922,,,辶,,录,,,,,,,,行謹逯逯也。从辵录聲。,Y,1163,,
LD-M,2,逴,2564,,,辶,,卓,,,,,,,,遠也。从辵卓聲。一曰蹇也。讀若棹苕之棹。,Y,1200,,
LD-M,2,逶,10430,,,辶,,委,,,,,,,,逶迆，衺去之皃。从辵委聲。,Y,1154,,
LD-M,2,逸,11970,,,辶,,兔,,,,,,,2024-01-28 13:20:39,,Y,,from HSK,to escape/leisurely/outstanding
LD-M,2,逻,7009,,,辶,,罗,,,,,,,2024-01-28 13:01:24,,Y,,from HSK,patrol
LD-M,2,逼,1622,,,辶,,畐,,,,,,,,近也。从辵畐聲。,Y,1212,in HSK,
