link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
Mi-Mo,2,丰,3588,,,,,,,,,,三,丨,2024-01-14 13:03:39,,Y,,from HSK,luxuriant/buxom/variant of 豐|丰[feng1]/variant of 風|风[feng1]/appearance/charm
Mi-Mo,2,凤,3627,,,,,,,,,,几,又,2024-01-14 13:05:01,,Y,,from HSK,phoenix
Mi-Mo,2,勾,4005,,,,,,,,,,勹,厶,2023-12-28 14:50:47,,Y,,from HSK,"to attract/to arouse/to tick/to strike out/to delineate/to collude/variant of 鉤|钩[gou1], hook"
Mi-Mo,2,匀,12493,,,,,,,,,,勹,冫,2023-12-28 15:08:36,,Y,,from HSK,even/well-distributed/uniform/to distribute evenly/to share
Mi-Mo,2,叉,2033,,,,,,,,,,又,丶,2024-01-14 12:56:09,,Y,,from HSK," fork/pitchfork/prong/pick/cross/intersect/""X"" , to cross/be stuck, to diverge/to open (as legs)"
Mi-Mo,2,夫,3637,,,,,,,,,,二,人,2024-01-14 13:06:26,,Y,,from HSK,husband/man/manual worker/conscripted laborer (old)
