link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LD-U-M,3,延,11540,,,廴,丿,止,,,,,,,2025-02-16 09:17:08,長行也。从㢟丿聲。,Y,1264,in HSK,
LD-U-M,3,第,2988,,,丿,⺮,弔,,,,,,,2024-01-27 12:07:44,,Y,,from HSK,"""(prefix indicating ordinal number, as in 第六[di4 liu4] """"sixth"""")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just"""
LD-U-M,3,遀,13909,,,辶,左,月,,,,,,,2024-01-28 13:46:15,,Y,,,
