link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-R,2,祋,13811,,礻,,,,,,殳,,,,2025-02-16 12:51:00,殳也。从殳示聲。或說城郭市里，高縣羊皮，有不當入而欲入者，暫下以驚牛馬曰祋。故从示、殳。《詩》曰：“何戈與祋。”,Y,,,
L-R,2,积,4895,,禾,,,,,,只,,,,2024-01-27 09:00:23,,Y,,from HSK,to amass/to accumulate/to store/measured quantity (such as area of volume)/product (the result of multiplication)/to integrate (math.)/to solve (or integrate) an ordinary differential equation (math.)/old/long-standing
L-R,2,穌,13605,,鱼,,,,,,禾,,,,2024-01-21 00:40:14,把取禾若也。从禾魚聲。,Y,,,
L-R,2,竝,13735,,立,,,,,,立,,,,2024-01-23 22:02:54,,Y,,,
L-R,2,竺,1244,,二,,,,,,竹,,,,,厚也。从二竹聲。,Y,8972,,
L-R,2,粘,7679,,米,,,,,,占,,,,2024-01-27 12:33:56,,Y,,from HSK,variant of 黏[nian2]
L-R,2,粼,6684,,巜,,,,,,粦,,,,,水生厓石閒粼粼也。从巜粦聲。,Y,7442,,
L-R,2,緜,13682,,帛,,,,,,系,,,,2024-01-21 11:57:06,聮微也。从系从帛。,Y,,,
L-R,2,缠,2105,,纟,,,,,丶,厘,,,,2025-02-16 11:59:17,,Y,,from HSK,to wind around/to wrap round/to coil/tangle/to involve/to bother/to annoy
L-R,2,羖,4073,,羊,,,,,,殳,,,,2025-02-16 12:50:19,夏羊牡曰羖。从羊殳聲。,Y,2334,,
L-R,2,群,8805,,君,,,,,,羊,,,,2024-01-27 21:56:44,,Y,,from HSK,"group/crowd/flock, herd, pack etc"
L-R,2,羲,1041,,兮,,,,,,義,,,,,气也。从兮義聲。,Y,3048,,
L-R,2,羽,12309,,习,,,,,,习,,,,2024-01-17 00:11:33,,Y,,from HSK,feather/5th note in pentatonic scale
L-R,2,耎,8961,,亣,,,,,,而,,,,,稍前大也。从亣而聲。讀若畏偄。,Y,6638,,
L-R,2,耏,3378,,而,,,,,,彡,,,,,罪不至髡也。从而从彡。,Y,6046,,
L-R,2,耐,87,,而,,,,,,寸,,,,2024-01-26 23:19:43,,Y,,from HSK,(bound form) to bear;  to endure
L-R,2,耕,3962,,耒,,,,,,井,,,,,犂也。从耒井聲。一曰古者井田。,Y,2809,in HSK,
L-R,2,耗,4375,,耒,,,,,,毛,,,,2024-01-27 00:57:15,,Y,,from HSK,to waste/to spend/to consume/to squander/news/(coll.) to delay/to dilly-dally
L-R,2,耡,2429,,耒,,,,,,助,,,,,商人七十而耡。耡，耤稅也。从耒助聲。《周禮》曰：“以興耡利萌。”,Y,2814,,
L-R,2,耦,7843,,耒,,,,,,禺,,,,,耒廣五寸爲伐，二伐爲耦。从耒禺聲。,Y,2810,,
L-R,2,耪,7919,,耒,,,,,,旁,,,,2025-02-16 12:34:23,,Y,,,
L-R,2,股,4074,,月,,,,,,殳,,,,2025-02-16 12:53:37,髀也。从肉殳聲。,Y,2626,in HSK,
L-R,2,肸,10830,,十,,,,,,䏌,,,,,響，布也。从十从䏌。,Y,1462,,
L-R,2,胡,4561,,古,,,,,,月,,,,2024-01-17 01:30:22,牛𩔞垂也。从肉古聲。,Y,2667,in HSK,
L-R,2,膀,1489,,月,,,,,,旁,,,,2025-02-16 12:35:18,脅也。从肉㫄聲。,Y,2609,in HSK,
L-R,2,臤,13734,,臣,,,,,,又,,,,2024-01-21 19:09:39,堅也。从又臣聲。凡臤之屬皆从臤。讀若鏗鏘之鏗。古文以爲賢字。,Y,,,
L-R,2,致,13054,,夊,,,,,,至,,,,,送詣也。从夊从至。,Y,3350,in HSK,
L-R,2,臻,12872,,至,,,,,,秦,,,,,至也。从至秦聲。,Y,7670,,
L-R,2,舁,12267,,𦥑,,,,,,廾,,,,,共舉也。从𦥑从廾。凡舁之屬皆从舁。讀若余。,Y,1772,,
L-R,2,舒,9472,,舍,,,,,,予,,,,,伸也。从舍从予，予亦聲。一曰舒，緩也。,Y,2501,in HSK,
L-R,2,般,1458,,舟,,,,,,殳,,,,2025-02-16 12:49:36,辟也。象舟之旋，从舟。从殳，殳，所以旋也。,Y,5422,in HSK,
L-R,2,艴,3689,,色,,,,,,弗,,,,,色艴如也。从色弗聲。《論語》曰：“色艴如也。”,Y,5764,,
L-R,2,菐,8201,,丵,,,,,,廾,,,,,瀆菐也。从丵从廾，廾亦聲。凡菐之屬皆从菐。,Y,1745,,
L-R,2,虹,4490,,虫,,,,,,工,,,,,螮蝀也。狀似蟲。从虫工聲。《明堂月令》曰：“虹始見。”,Y,8890,in HSK,
L-R,2,蚌,1500,,虫,,,,,,丰,,,,2024-01-28 11:42:49,蜃屬。从虫𡴀聲。,Y,8860,in HSK,
