link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LU-U-RU-D,4,孿,13586,纟,,,言,,子,纟,,,,,2024-01-20 22:59:01,一乳兩子也。从子䜌聲。,Y,,,
LU-U-RU-D,4,樂,13615,幺,,,白,,木,幺,,,,,2024-01-21 00:59:03,,Y,,,
LU-U-RU-D,4,燮,11126,火,,,言,,又,火,,,,,2024-01-21 09:17:16,和也。从言从又、炎。籒文𤎬从𢆉。𢆉，音飪。讀若溼。,Y,1902,,
LU-U-RU-D,4,率,6962,冫,,,玄,,十,冫,,,,,2024-01-25 22:24:22,,Y,,from HSK,rate/frequency
LU-U-RU-D,4,變,13641,纟,,,言,,攵,纟,,,,,2024-01-21 08:46:24,更也。从攴䜌聲。,Y,,,
LU-U-RU-D,4,鑾,13525,纟,,,言,,金,纟,,,,,2024-01-20 17:24:04,人君乘車，四馬鑣，八鑾鈴，象鸞鳥聲，和則敬也。从金，从鸞省。,Y,,,
LU-U-RU-D,4,鸞,13526,纟,,,言,,鸟,纟,,,,,2024-01-20 17:27:08,亦神靈之精也。赤色，五采，雞形。鳴中五音，頌聲作則至。从鳥䜌聲。周成王時氐羌獻鸞鳥。,Y,,,
