link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
U-M-LD-D-RD,5,羸,6353,,,月,亡,口,羊,,,凡,,,2024-01-20 18:14:51,瘦也。从羊𣎆聲。,Y,2340,,
U-M-LD-D-RD,5,蠃,7019,,,月,亡,口,虫,,,凡,,,2024-01-18 22:27:54,蜾蠃也。从虫𣎆聲。一曰虒蝓。,Y,8810,,
U-M-LD-D-RD,5,赢,12108,,,月,亡,口,贝,,,凡,,,2024-01-27 23:22:29,,Y,,from HSK,to beat/to win/to profit
U-M-LD-D-RD,5,驘,13936,,,月,亡,口,马,,,凡,,,2024-02-10 18:33:44,驢父馬母。从馬𦝠聲。,Y,,,
