link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
M-Mi,2,圆,12412,,,,,囗,,,,,,员,2024-01-27 09:31:58,,Y,,from HSK,circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)
M-Mi,2,太,9841,,,,,大,,,,,,丶,2024-01-14 14:38:46,,Y,,from HSK,highest/greatest/too (much)/very/extremely
M-Mi,2,威,10415,,,,,戌,,,,,,女,2024-01-27 00:22:22,姑也。从女从戌。漢律曰：“婦告威姑。”,Y,8105,in HSK,
M-Mi,2,寸,2699,,,,,又,,,,,,一,2024-01-21 19:03:44,十分也。人手卻一寸，動𧖴，謂之寸口。从又从一。凡寸之屬皆从寸。,Y,1973,in HSK,
M-Mi,2,小,11051,,,,,八,,,,,,亅,2024-01-14 14:46:30,,Y,,from HSK,small/tiny/few/young
M-Mi,2,幽,12171,,,,,山,,,,,,幺 幺,2024-01-28 11:05:58,,Y,,from HSK,remote/hidden away/secluded/serene/peaceful/to imprison/in superstition indicates the underworld/ancient district spanning Liaonang and Hebei provinces
M-Mi,2,戚,227,,,,,戊,,,,,,尗,2024-01-27 10:00:50,戉也。从戉尗聲。,Y,8359,in HSK,
M-Mi,2,承,2265,,,,,氶,,,,,,三,2024-01-26 16:56:38,奉也。受也。从手从卪从𠬞。,Y,7874,in HSK,
M-Mi,2,斥,2345,,,,,斤,,,,,,丶,2024-01-14 15:15:30,,Y,,from HSK,to blame/to reprove/to reprimand/to expel/to oust/to reconnoiter/(of territory) to expand/saline marsh
M-Mi,2,旬,11427,,,,,勹,,,,,,日,2024-01-15 13:34:24,,Y,,from HSK,ten days/ten years/full period
M-Mi,2,曰,12454,,,,,口,,,,,,一,2024-01-18 21:08:56,詞也。从口乙聲。亦象口气出也。凡曰之屬皆从曰。,Y,3027,,
M-Mi,2,未,10498,,,,,木,,,,,,一,2024-01-15 12:28:09,,Y,,from HSK,"not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep/ancient Chinese compass point: 210°"
M-Mi,2,本,1587,,,,,木,,,,,,一,2024-01-14 15:07:29,,Y,,from HSK,"root/stem/origin/source/this/the current/original/inherent/originally/classifier for books, periodicals, files etc"
M-Mi,2,束,9503,,,,,木,,,,,, 口,2024-01-16 23:55:30,,Y,,from HSK,"to bind/bunch/bundle/classifier for bunches, bundles, beams of light etc/to control"
M-Mi,2,東,13969,,,,,木,,,,,,日,2024-02-22 00:12:52,,Y,,,
M-Mi,2,毛,7131,,,,,彡,,,,,,乚,2024-01-14 13:30:27,,Y,,from HSK,"hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
M-Mi,2,爽,9541,,,,,大,,,,,,㸚,2024-01-27 10:53:52,明也。从㸚从大。,Y,2083,in HSK,
M-Mi,2,玉,12346,,,,,王,,,,,,丶,2024-01-15 12:33:50,,Y,,from HSK,jade
M-Mi,2,王,10391,,,,,三,,,,,,丨,2024-01-14 14:42:00,,Y,,from HSK,king or monarch/best or strongest of its type/grand/great
M-Mi,2,用,12167,,,,,月,,,,,,丨,2024-01-15 12:33:20,可施行也。从卜从中。衞宏說。凡用之屬皆从用。,Y,2074,in HSK,
M-Mi,2,田,10040,,,,,囗,,,,,,十,2024-01-15 12:27:12,,Y,,from HSK,field/farm/CL:片[pian4]
M-Mi,2,甸,3028,,,,,勹,,,,,,田,2024-01-27 23:45:22,,Y,,from HSK,suburbs or outskirts/one of the five degrees of official mourning attire in dynastic China/official in charge of fields (old)  in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-  poly-
M-Mi,2,秉,1833,,,,,禾,,,,,,肀,2024-01-28 10:07:28,,Y,,from HSK,to grasp/to hold/to maintain
M-Mi,2,网,10397,,,,,冂,,,,,,乂 乂,2024-01-15 13:25:25,,Y,,from HSK,net/network
M-Mi,2,聞,13575,,,,,門,,,,,,耳,2024-01-20 22:27:20,知聞也。从耳門聲。,Y,,,
M-Mi,2,肀,13968,,,,,彐,,,,,,丨,2025-02-16 11:28:47,,Y,,,
M-Mi,2,臧,12577,,,,,戕,,,,,,臣,2024-01-27 22:48:17,善也。从臣戕聲。,Y,1947,,
M-Mi,2,衍,11588,,,,,行,,,,,,氵,2024-01-18 01:43:46,水朝宗于海也。从水从行。,Y,7101,in HSK,
M-Mi,2,衔,10922,,,,,行,,,,,,钅,2024-01-27 12:54:36,,Y,,from HSK,bit (of a bridle)/to hold in the mouth/to harbor (feelings)/to link/to accept/rank/title
M-Mi,2,街,5376,,,,,行,,,,,,圭,2024-01-27 17:31:42,四通道也。从行圭聲。,Y,1267,in HSK,
M-Mi,2,衡,4459,,,,,行,,,,,,角大,2024-01-27 22:58:30,牛觸，橫大木其角。从角从大，行聲。《詩》曰：“設其楅衡。”,Y,2832,in HSK,
M-Mi,2,衮,4234,,,,,衣,,,,,,公,2024-01-18 23:56:04,天子享先王，卷龍繡於下幅，一龍蟠阿上鄉。从衣公聲。,Y,5232,,
M-Mi,2,衰,2670,,,,,衣,,,,,,口一,2024-01-27 08:40:50,,Y,,from HSK,mourning garments
M-Mi,2,衷,13089,,,,,衣,,,,,,中,2024-01-18 23:51:51,裏䙝衣。从衣中聲。《春秋傳》曰：“皆衷其衵服。”,Y,5304,in HSK,
M-Mi,2,袤,7169,,,,,衣,,,,,,矛,2024-01-18 23:49:24,衣帶以上。从衣矛聲。一曰南北曰袤，東西曰廣。,Y,5252,,
M-Mi,2,裛,11960,,,,,衣,,,,,,邑,2024-01-18 23:52:45,書囊也。从衣邑聲。,Y,5328,,
M-Mi,2,裹,180,,,,,衣,,,,,,果,2024-01-18 23:53:32,纏也。从衣果聲。,Y,5327,in HSK,
M-Mi,2,褎,11248,,,,,衣,,,,,,禾,2024-01-18 23:50:29,袂也。从衣𥝩聲。,Y,5261,incomplete,
M-Mi,2,褒,1513,,,,,衣,,,,,,保,2024-01-25 01:40:47,,Y,,from HSK,to praise/to commend/to honor/(of clothes) large or loose
M-Mi,2,褢,4637,,,,,衣,,,,,,鬼,2024-01-18 23:50:51,袖也。一曰藏也。从衣鬼聲。,Y,5263,,
M-Mi,2,褱,4638,,,,,衣 ,,,,,,眔,2024-01-19 00:00:33,俠也。从衣眔聲。一曰橐。,Y,5264,,
M-Mi,2,誾,13654,,,,,門,,,,,,言,2024-01-21 09:19:42,和說而諍也。从言門聲。,Y,,,debate
M-Mi,2,銜,13922,,,,,行,,,,,,金,2024-02-07 23:14:48,馬勒口中。从金从行。銜，行馬者也。,Y,,,
M-Mi,2,闕,13688,,,,,門,,,,,,欮,2024-01-21 12:34:34,門觀也。从門欮聲。,Y,,,
