zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
木,mu4,,,Y,Y,,,,(bound form) tree/(bound form) wood/unresponsive;  numb,HSK_1-Common-01,189,Y,89.0
女,nu:3,,,Y,Y,,,,female/woman/daughter,HSK_1-Common-01,7796,Y,93.0
片,pian1,,,Y,Y,,,,disk/sheet,HSK_1-Common-01,8070,Y,96.0
片,pian4,,,Y,Y,,,,"thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91",HSK_1-Common-01,8081,Y,97.0
气,qi4,,氣,Y,Y,,,,gas;  air/smell/weather/to make angry,HSK_1-Common-01,305,Y,101.0
欠,qian4,,,Y,Y,,,,to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body),HSK_1-Common-01,8431,Y,103.0
犬,quan3,,,Y,Y,,,,dog/Kangxi radical 94,HSK_1-Common-01,8769,Y,107.0
人,ren2,,,Y,Y,,,,"person; people/CL:個|个[ge4],位[wei4]",HSK_1-Common-01,8847,Y,108.0
日,ri4,,,Y,Y,,,,"sun/day/date, day of the month",HSK_1-Common-01,8884,Y,113.0
入,ru4,,,Y,Y,,,,to enter/to go into/to join/to become a member of/to confirm or agree with/abbr. for 入聲|入声[ru4 sheng1],HSK_1-Common-01,8946,Y,114.0
山,shan1,,,Y,Y,,,,mountain;  hill (CL:座[zuo4])/(coll.) small bundle of straw for silkworms to spin cocoons on,HSK_1-Common-01,236,Y,116.0
尸,shi1,,屍,Y,Y,,,,corpse; person representing the dead (during burial ceremonies)/to put a corpse on display (after execution)/variant of 屍|尸[shi1]/corpse,HSK_1-Common-01,9326,Y,123.0
十,shi2,,,Y,Y,,,,ten/10,HSK_1-Common-01,9347,Y,124.0
氏,shi4,,,Y,Y,,,,clan name/maiden name,HSK_1-Common-01,9405,Y,126.0
手,shou3,,,Y,Y,,,,"hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill/CL:雙|双[shuang1],隻|只[zhi1]",HSK_1-Common-01,9434,Y,127.0
水,shui3,,,Y,Y,,,,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes,HSK_1-Common-01,9542,Y,128.0
土,tu3,,,Y,Y,,,,earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight categories of ancient musical instruments 八音[ba1 yin1],HSK_1-Common-01,10210,Y,132.0
瓦,wa3,,,Y,Y,,,,roof tile/abbr. for 瓦特[wa3 te4],HSK_1-Common-01,10329,Y,134.0
文,wen2,,,Y,Y,,,,language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67,HSK_1-Common-01,10530,Y,143.0
无,wu2,,無,Y,Y,,,,not to have/no/none/not/to lack/un-/-less,HSK_1-Common-01,10616,Y,145.0
夕,xi1,,,Y,Y,,,,dusk/evening/Taiwan pr. [xi4],HSK_1-Common-01,10692,Y,149.0
见,xian4,,見,Y,Y,,,,to appear/also written 現|现[xian4],HSK_1-Common-01,10965,Y,152.0
小,xiao3,,,Y,Y,,,,small/tiny/few/young,HSK_1-Common-01,11051,Y,154.0
心,xin1,,,Y,Y,,,,"heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]",HSK_1-Common-01,11147,Y,155.0
牙,ya2,,,Y,Y,,,,tooth/ivory/CL:顆|颗[ke1],HSK_1-Common-01,11478,Y,158.0
广,yan3,,,Y,Y,,,,"""""""house on a cliff"""" radical in Chinese characters (Kangxi radical 53), occurring in 店, 序, 底 etc""",HSK_1-Common-01,11573,Y,159.0
一,yi1,,,Y,Y,,,,"""one/single/a (article)/as soon as/entire; whole; all; throughout/""""one"""" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit""",HSK_1-Common-01,11789,Y,161.0
乙,yi3,,,Y,Y,,,,"""second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/second in order/letter """"B"""" or Roman """"II"""" in list """"A, B, C"""", or """"I, II, III"""" etc/second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°""",HSK_1-Common-01,11859,Y,162.0
又,you4,,,Y,Y,,,,(once) again/also/both... and.../and yet/(used for emphasis) anyway,HSK_1-Common-01,12214,Y,170.0
月,yue4,,,Y,Y,,,,"moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]",HSK_1-Common-01,12465,Y,174.0
长,zhang3,,長,Y,Y,,,,chief/head/elder/to grow/to develop/to increase/to enhance,HSK_1-Common-01,12768,Y,180.0
支,zhi1,,,Y,Y,,,,"to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions",HSK_1-Common-01,12949,Y,182.0
止,zhi3,,,Y,Y,,,,to stop/to prohibit/until/only,HSK_1-Common-01,13005,Y,184.0
爪,zhua3,,,Y,Y,,,,(coll.) foot of an animal or bird/(coll.) foot supporting a cooking pot etc,HSK_1-Common-01,13233,Y,186.0
子,zi3,,,Y,Y,,,,"son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/ancient Chinese compass point: 0° (north)/subsidiary/subordinate/sub-",HSK_1-Common-01,13379,Y,189.0
白,bai2,,,Y,Y,,,,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera,HSK_1-Common-02,1430,Y,192.0
石,dan4,,,Y,Y,,,,dry measure for grain equal to ten dou 斗[dou3];  one hundred liters/ancient pr. [shi2],HSK_1-Common-02,183,Y,215.0
电,dian4,,電,Y,,5,,electricity,lightning/electricity/electric (bound form)/to get (or give) an electric shock/phone call or telegram etc/to send via telephone or telegram etc,HSK_1-Common-02,3035,Y,218.0
鸟,diao3,,鳥,Y,Y,,,,variant of 屌[diao3]/penis,HSK_1-Common-02,3051,Y,220.0
甘,gan1,,,Y,Y,,,,sweet/willing,HSK_1-Common-02,3816,Y,232.0
