zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
犭,quan3,,,Y,Y,,,,three-stroke form of Kangxi radical 94 犬[quan3],HSK_8,8770,Y,8528.0
亻,ren2,,,Y,Y,,,,"""""""person"""" radical in Chinese characters (Kangxi radical 9)""",HSK_8,8848,Y,8572.0
彡,shan1,,,Y,Y,,,,"""""""bristle"""" radical in Chinese characters (Kangxi radical 59)""",HSK_8,9118,Y,8741.0
饣,shi2,,飠,Y,Y,,,,"""""""to eat"""" or """"food"""" radical in Chinese characters (Kangxi radical 184)""",HSK_8,9364,Y,8883.0
豕,shi3,,,Y,Y,,,,hog/swine,HSK_8,9377,Y,8891.0
扌,shou3,,,Y,Y,,,,"""""""hand"""" radical in Chinese characters (Kangxi radical 64), occurring in 提, 把, 打 etc""",HSK_8,9435,Y,8918.0
殳,shu1,,,Y,Y,,,,"bamboo or wooden spear/Kangxi radical 79, occurring in 段[duan4], 毅[yi4], 殺|杀[sha1] etc",HSK_8,9464,Y,8928.0
疋,shu1,,,Y,Y,,,,foot,HSK_8,9467,Y,8929.0
氵,shui3,,,Y,Y,,,,"""""""water"""" radical in Chinese characters (Kangxi radical 85), occurring in 沒|没[mei2], 法[fa3], 流[liu2] etc/see also 三點水|三点水[san1 dian3 shui3]""",HSK_8,9543,Y,8966.0
厶,si1,,,Y,Y,,,,old variant of 私[si1],HSK_8,9572,Y,8984.0
纟,si1,,糹,Y,Y,,,,"""""""silk"""" radical in Chinese characters (Kangxi radical 120), occurring in 紅|红[hong2], 綠|绿[lu:4], 累[lei4] etc/also pr. [mi4]""",HSK_8,9582,Y,8990.0
亠,tou2,,,Y,Y,,,,"""""""lid"""" radical in Chinese characters (Kangxi radical 8)""",HSK_8,10179,Y,9388.0
尢,wang1,,,Y,Y,,,,lame,HSK_8,10385,Y,9515.0
罒,wang3,,,Y,Y,,,,net (Kangxi radical 122),HSK_8,10398,Y,9520.0
囗,wei2,,,Y,Y,,,,enclosure,HSK_8,10435,Y,9544.0
忄,xin1,,,Y,Y,,,,Kangxi radical 61 (心) as a vertical side element,HSK_8,11148,Y,10007.0
讠,yan2,,訁,Y,Y,,,,"""""""speech"""" or """"words"""" radical in Chinese characters (Kangxi radical 149)/see also 言字旁[yan2 zi4 pang2]""  to satisfy",HSK_8,11556,Y,10262.0
幺,yao1,,么,Y,Y,,,,"youngest/most junior/tiny/one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military)/one or ace on dice or dominoes/variant of 吆[yao1], to shout",HSK_8,11678,Y,10339.0
衤,yi1,,,Y,Y,,,,"the left-radical form of Kangxi radical 145, 衣[yi1]",HSK_8,11809,Y,10424.0
弋,yi4,,,Y,Y,,,,to shoot,HSK_8,11907,Y,10503.0
廴,yin3,,,Y,Y,,,,"""""""long stride"""" radical in Chinese characters (Kangxi radical 54), occurring in 建, 延, 廷 etc""",HSK_8,12039,Y,10594.0
酉,you3,,,Y,Y,,,,"10th earthly branch: 5-7 p.m., 8th solar month (8th September-7th October), year of the Rooster/ancient Chinese compass point: 270° (west)",HSK_8,12210,Y,10707.0
聿,yu4,,,Y,Y,,,,(arch. introductory particle)/then/and then,HSK_8,12358,Y,10821.0
爫,zhao3,,,Y,Y,,,,"""""""claw"""" radical in Chinese characters (Kangxi radical 87)""",HSK_8,12796,Y,11070.0
夂,zhi3,,,Y,Y,,,,"""""""walk slowly"""" component in Chinese characters/see also 冬字頭|冬字头[dong1 zi4 tou2]""",HSK_8,12998,Y,11191.0
豸,zhi4,,,Y,Y,,,,worm-like invertebrate/mythical animal (see 獬豸[xie4 zhi4])/radical in Chinese characters (Kangxi radical 153),HSK_8,13063,Y,11228.0
丶,zhu3,,,Y,Y,,,,"""""""dot"""" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]""",HSK_8,13185,Y,11308.0
隹,zhui1,,,Y,Y,,,,short-tailed bird,HSK_8,13282,Y,11352.0
