zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
亿,11889,,yi4,,,億,,,HSK_1-Common-01,,,100 million,,165.0,Y
什,9272,,shen2,,,,,,HSK_1-Common-01,,,what,,121.0,Y
仁,8849,,ren2,,,,,,HSK_1-Common-01,,,humane/kernel,,109.0,Y
仅,5459,,jin3,,,僅,,,HSK_1-Common-01,,,barely/only/merely,,70.0,Y
仆,8188,,pu1; pu2,,,,,,HSK_1-Common-01,,,to fall forward/to fall prostrate; servant,,98.0,Y
仇,2381,,chou2,,,,,,HSK_1-Common-01,,,"hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)",,15.0,Y
今,5445,,jin1,,,,,,HSK_1-Common-01,,,"now/the present time/current/contemporary/this (day, year etc)",,67.0,Y
介,5428,,jie4,,,,,,HSK_1-Common-01,,,to introduce/to lie between/between/shell/armor,,66.0,Y
仍,2,,reng2,,,,,,HSK_1-Common-01,,,still;  yet/to remain/(literary) frequently,,112.0,Y
从,2622,,cong2,,,從,,,HSK_1-Common-01,,,from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor,,17.0,Y
仓,1984,,cang1,,,倉,,,HSK_1-Common-01,,,barn/granary/storehouse/cabin/hold (in ship),,8.0,Y
儿,3373,,er2,,,兒,Y,Y,HSK_1-Common-01,,,child/son,,27.0,Y
元,12407,,yuan2,,,,,,HSK_1-Common-01,,,currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/meta- (prefix)/(math.) argument/variable/(Tw) (geology) eon,,173.0,Y
入,8946,,ru4,,,,Y,Y,HSK_1-Common-01,,,to enter/to go into/to join/to become a member of/to confirm or agree with/abbr. for 入聲|入声[ru4 sheng1],,114.0,Y
八,314,,ba1,,,,Y,Y,HSK_1-Common-01,,,eight; 8,,1.0,Y
公,3976,,gong1,,,,,,HSK_1-Common-01,,,"public/collectively owned/common/international (e.g. high seas, metric system, calendar)/make public/fair/just/Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/honorable (gentlemen)/father-in-law/male (animal)",,49.0,Y
六,6799,,liu4,,,,,,HSK_1-Common-01,,,six/6,,83.0,Y
内,7626,,nei4,,,內,,,HSK_1-Common-01,,,inside/inner/internal/within/interior,,91.0,Y
冈,3844,,gang1,,,岡,,,HSK_1-Common-01,,,ridge/mound,,45.0,Y
几,4870,,ji1,,,,Y,Y,HSK_1-Common-01,,,small table,,59.0,Y
几,4883,,ji1,,,幾,Y,Y,HSK_1-Common-01,,,almost,,60.0,Y
几,4967,,ji3,,,幾,Y,Y,HSK_1-Common-01,,,how much/how many/several/a few,,62.0,Y
凡,3441,,fan2,,,,,,HSK_1-Common-01,,,ordinary/commonplace/mundane/temporal/of the material world (as opposed to supernatural or immortal levels)/every/all/whatever/altogether/gist/outline/note of Chinese musical scale,,30.0,Y
凤,3627,,feng4,,,鳳,,,HSK_1-Common-01,,,phoenix,,39.0,Y
凶,11211,,xiong1,,,兇,,,HSK_1-Common-01,,,terrible/fearful,,156.0,Y
凶,11212,,xiong1,,,,,,HSK_1-Common-01,,,vicious/fierce/ominous/inauspicious/famine/variant of 兇|凶[xiong1],,157.0,Y
刀,2865,,dao1,,,,Y,Y,HSK_1-Common-01,,,knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs,,22.0,Y
刃,8860,,ren4,,,,,,HSK_1-Common-01,,,edge of blade,,110.0,Y
分,37,,fen1,,,,,,HSK_1-Common-01,,,to divide;  to separate/to distribute,,34.0,Y
分,3578,,fen4,,,,,,HSK_1-Common-01,,,part/share/ingredient/component,,35.0,Y
切,33,,qie1,,,,,,HSK_1-Common-01,,,to cut;  to slice,,104.0,Y
切,8533,,qie4,,,,,,HSK_1-Common-01,,,"definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)",,105.0,Y
力,6459,,li4,,,,Y,Y,HSK_1-Common-01,,,power/force/strength/ability/strenuously,,80.0,Y
勺,9199,,shao2,,,,,,HSK_1-Common-01,,,"spoon/ladle/CL:把[ba3]/abbr. for 公勺[gong1 shao2], centiliter (unit of volume)",,118.0,Y
勾,4005,,gou1,,,,,,HSK_1-Common-01,,,"to attract/to arouse/to tick/to strike out/to delineate/to collude/variant of 鉤|钩[gou1], hook",,51.0,Y
勾,4024,,gou4,,,,,,HSK_1-Common-01,,,see 勾當|勾当[gou4 dang4],,52.0,Y
勿,10652,,wu4,,,,,,HSK_1-Common-01,,,do not,,148.0,Y
匀,12493,,yun2,,,勻,,,HSK_1-Common-01,,,even/well-distributed/uniform/to distribute evenly/to share,,177.0,Y
化,4622,,hua4,,,,,,HSK_1-Common-01,,,to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學|化学[hua4 xue2],,57.0,Y
