zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
抢,8474,,qiang3,,,搶,,,HSK_1-Common-04,,,to fight over/to rush/to scramble/to grab/to rob/to snatch,,658.0,Y
护,4594,,hu4,,,護,,,HSK_1-Common-04,,,to protect,,601.0,Y
报,1530,,bao4,,,報,,,HSK_1-Common-04,,,"to announce/to inform/report/newspaper/recompense/revenge/CL:份[fen4],張|张[zhang1]",,552.0,Y
拒,5692,,ju4,,,,,,HSK_1-Common-04,,,to resist/to repel/to refuse,,621.0,Y
收,9432,,shou1,,,,,,HSK_1-Common-04,,,to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name),,669.0,Y
攻,3985,,gong1,,,,,,HSK_1-Common-04,,,to attack/to accuse/to study,,591.0,Y
旱,4318,,han4,,,,,,HSK_1-Common-04,,,drought,,596.0,Y
时,9354,,shi2,,,時,,,HSK_1-Common-04,,,o'clock/time/when/hour/season/period,,668.0,Y
旷,6092,,kuang4,,,曠,,,HSK_1-Common-04,,,to neglect/to skip (class or work)/to waste (time)/vast/loose-fitting,,628.0,Y
更,3955,,geng1,,,,,,HSK_1-Common-04,,,to change or replace/to experience/one of the five two-hour periods into which the night was formerly divided/watch (e.g. of a sentry or guard),,589.0,Y
更,3973,,geng4,,,,,,HSK_1-Common-04,,,more/even more/further/still/still more,,590.0,Y
杆,3828,,gan3,,,桿,,,HSK_1-Common-04,,,"stick/pole/lever/classifier for long objects such as guns; pole/CL:條|条[tiao2],根[gen1]",,586.0,Y
李,6437,,li3,,,,,,HSK_1-Common-04,,,plum,,632.0,Y
杏,11203,,xing4,,,,,,HSK_1-Common-04,,,apricot/almond,,692.0,Y
材,1946,,cai2,,,,,,HSK_1-Common-04,,,material/timber/ability/aptitude/a capable individual/coffin (old),,554.0,Y
村,2693,,cun1,,,,,,HSK_1-Common-04,,,village,,565.0,Y
杜,3201,,du4,,,,,,HSK_1-Common-04,,,birchleaf pear (tree)/to stop/to prevent/to restrict,,571.0,Y
束,9503,,shu4,,,,,,HSK_1-Common-04,,,"to bind/bunch/bundle/classifier for bunches, bundles, beams of light etc/to control",,672.0,Y
杠,3848,,gang1,,,,,,HSK_1-Common-04,,,flagpole/footbridge,,587.0,Y
杠,3861,,gang4,,,槓,,,HSK_1-Common-04,,,"coffin-bearing pole (old)/thick pole/bar/rod/thick line/to mark with a thick line/to sharpen (a knife, razor etc)/to get into a dispute with/standard/criterion",,588.0,Y
来,6212,,lai2,,,來,,,HSK_1-Common-04,,,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])",,630.0,Y
杨,11653,,yang2,,,楊,,,HSK_1-Common-04,,,poplar,,700.0,Y
极,4939,,ji2,,,極,,,HSK_1-Common-04,,,"extremely/pole (geography, physics)/utmost/top",,606.0,Y
欢,4645,,huan1,,,歡,,,HSK_1-Common-04,,,joyous/happy/pleased,,604.0,Y
步,1932,,bu4,,,,,,HSK_1-Common-04,,,a step/a pace/walk/march/stages in a process/situation,,553.0,Y
歼,5122,,jian1,,,殲,,,HSK_1-Common-04,,,"to annihilate/abbr. for 殲擊機|歼击机[jian1 ji1 ji1], fighter plane",,612.0,Y
求,8654,,qiu2,,,,,,HSK_1-Common-04,,,to seek/to look for/to request/to demand/to beseech,,661.0,Y
汤,9897,,tang1,,,湯,,,HSK_1-Common-04,,,soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled,,677.0,Y
男,7580,,nan2,,,,,,HSK_1-Common-04,,,"male/Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",,649.0,Y
盯,3101,,ding1,,,,,,HSK_1-Common-04,,,to watch attentively/to fix one's attention on/to stare at/to gaze at,,568.0,Y
红,4486,,hong2,,,紅,,,HSK_1-Common-04,,,red/popular/revolutionary/bonus,,599.0,Y
纤,8436,,qian4,,,縴,,,HSK_1-Common-04,,,boatman's tow-rope,,656.0,Y
纤,10893,,xian1,,,纖,,,HSK_1-Common-04,,,fine/delicate/minute,,686.0,Y
约,11685,,yao1,,,約,,,HSK_1-Common-04,,,to weigh in a balance or on a scale,,702.0,Y
约,12457,,yue1,,,約,,,HSK_1-Common-04,,,to make an appointment/to invite/approximately/pact/treaty/to economize/to restrict/to reduce (a fraction)/concise,,713.0,Y
级,4948,,ji2,,,級,,,HSK_1-Common-04,,,"level/grade/rank/step (of stairs)/CL:個|个[ge4]/classifier: step, level",,607.0,Y
纪,5015,,ji4,,,紀,,,HSK_1-Common-04,,,order/discipline/age/era/period/to chronicle,,608.0,Y
羽,12309,,yu3,,,,Y,Y,HSK_1-Common-04,,,feather/5th note in pentatonic scale,,708.0,Y
芦,6877,,lu2,,,蘆,,,HSK_1-Common-04,,,rush/reed/Phragmites communis,,639.0,Y
芬,3553,,fen1,,,,,,HSK_1-Common-04,,,perfume/fragrance,,579.0,Y
花,4602,,hua1,,,,,,HSK_1-Common-04,,,"flower/blossom/CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]/fancy pattern/florid/to spend (money, time)/(coll.) lecherous/lustful",,602.0,Y
芳,3481,,fang1,,,,,,HSK_1-Common-04,,,fragrant,,574.0,Y
芹,8570,,qin2,,,,,,HSK_1-Common-04,,,Chinese celery,,660.0,Y
芽,11482,,ya2,,,,,,HSK_1-Common-04,,,bud/sprout,,697.0,Y
苍,1989,,cang1,,,蒼,,,HSK_1-Common-04,,,dark blue/deep green/ash-gray,,555.0,Y
苏,951,,su1,,,蘇,,,HSK_1-Common-04,,,surname Su/abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联/abbr. for Jiangsu province 江蘇|江苏/abbr. for Suzhou city 蘇州|苏州,,673.0,Y
观,4140,,guan1,,,觀,,,HSK_1-Common-04,,,to look at/to watch/to observe/to behold/to advise/concept/point of view/outlook,,593.0,Y
观,4168,,guan4,,,觀,,,HSK_1-Common-04,,,Taoist monastery/palace gate watchtower/platform,,594.0,Y
讲,5256,,jiang3,,,講,,,HSK_1-Common-04,,,to speak/to explain/to negotiate/to emphasize/to be particular about/as far as sth is concerned/speech/lecture,,613.0,Y
许,11290,,xu3,,,許,,,HSK_1-Common-04,,,to allow/to permit/to promise/to praise/somewhat/perhaps,,693.0,Y
论,733,,lun2,,,論,,,HSK_1-Common-04,,,"abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius)",,640.0,Y
论,6998,,lun4,,,論,,,HSK_1-Common-04,,,"opinion/view/theory/doctrine/to discuss/to talk about/to regard/to consider/per/by the (kilometer, hour etc)",,641.0,Y
讽,3620,,feng3,,,諷,,,HSK_1-Common-04,,,to satirize/to mock/to recite/Taiwan pr. [feng4],,581.0,Y
设,51,,she4,,,設,,,HSK_1-Common-04,,,to set up;  to put in place/(math.) given,,666.0,Y
访,3498,,fang3,,,訪,,,HSK_1-Common-04,,,(bound form) to visit/to call on/to seek/to inquire/to investigate,,577.0,Y
豆,3161,,dou4,,,,Y,Y,HSK_1-Common-04,,,"bean/pea/CL:棵[ke1],粒[li4]/sacrificial vessel",,570.0,Y
贡,4003,,gong4,,,貢,,,HSK_1-Common-04,,,to offer tribute/tribute/gifts,,592.0,Y
赤,2350,,chi4,,,,Y,Y,HSK_1-Common-04,,,red/scarlet/bare/naked,,562.0,Y
走,13439,,zou3,,,,Y,Y,HSK_1-Common-04,,,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)",,725.0,Y
足,5707,,ju4,,,,Y,Y,HSK_1-Common-04,,,excessive,,620.0,Y
足,13451,,zu2,,,,Y,Y,HSK_1-Common-04,,,foot/to be sufficient/ample,,726.0,Y
辰,2226,,chen2,,,,Y,Y,HSK_1-Common-04,,,"5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon/ancient Chinese compass point: 120°",,559.0,Y
迅,11454,,xun4,,,,,,HSK_1-Common-04,,,rapid/fast,,696.0,Y
运,12523,,yun4,,,運,,,HSK_1-Common-04,,,to move/to transport/to use/to apply/fortune/luck/fate,,714.0,Y
还,4273,,hai2,,,還,,,HSK_1-Common-04,,,still/still in progress/still more/yet/even more/in addition/fairly/passably (good)/as early as/even/also/else,,595.0,Y
还,4663,,huan2,,,還,,,HSK_1-Common-04,,,to pay back/to return,,605.0,Y
进,5494,,jin4,,,進,,,HSK_1-Common-04,,,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound,,619.0,Y
远,12443,,yuan3,,,遠,,,HSK_1-Common-04,,,far/distant/remote/(intensifier in a comparison) by far/much (lower etc),,711.0,Y
远,12451,,yuan4,,,遠,,,HSK_1-Common-04,,,to distance oneself from (classical),,712.0,Y
违,10454,,wei2,,,違,,,HSK_1-Common-04,,,to disobey/to violate/to separate/to go against,,682.0,Y
连,6548,,lian2,,,連,,,HSK_1-Common-04,,,"to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)",,636.0,Y
那,777,,na1,,,,,,HSK_1-Common-04,,,surname Na,,646.0,Y
那,7541,,na3,,,,,,HSK_1-Common-04,,,variant of 哪[na3],,647.0,Y
那,7549,,na4,,,,,,HSK_1-Common-04,,,"(specifier) that; the; those (colloquial pr. [nei4])/(pronoun) that (referring to persons, things or situations)/then (in that case)",,648.0,Y
邮,12198,,you2,,,郵,,,HSK_1-Common-04,,,post (office)/mail,,706.0,Y
里,6443,,li3,,,裡,Y,Y,HSK_1-Common-04,,,"lining/interior/inside/internal/also written 裏|里[li3];  li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels",,633.0,Y
防,3488,,fang2,,,,,,HSK_1-Common-04,,,to protect/to defend/to guard against/to prevent,,576.0,Y
阳,11662,,yang2,,,陽,,,HSK_1-Common-04,,,"positive (electric.)/sun/male principle (Taoism)/Yang, opposite: 陰|阴[yin1]",,701.0,Y
阴,12005,,yin1,,,陰,,,HSK_1-Common-04,,,overcast (weather)/cloudy/shady/Yin (the negative principle of Yin and Yang)/negative (electric.)/feminine/moon/implicit/hidden/genitalia,,705.0,Y
阵,12910,,zhen4,,,陣,,,HSK_1-Common-04,,,disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration,,719.0,Y
阶,5377,,jie1,,,階,,,HSK_1-Common-04,,,rank or step/stairs,,614.0,Y
驰,2323,,chi2,,,馳,,,HSK_1-Common-04,,,to run fast/to speed/to gallop/to disseminate/to spread,,561.0,Y
麦,7080,,mai4,,,麥,Y,Y,HSK_1-Common-04,,,wheat/barley/oats,,644.0,Y
乱,6984,,luan4,,,亂,,,HSK_1-Common-05,,,in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary,,814.0,Y
亩,7515,,mu3,,,畝,,,HSK_1-Common-05,,,classifier for fields/unit of area equal to one fifteenth of a hectare,,822.0,Y
伯,1870,,bo2; bai3,,,,,,HSK_1-Common-05,,,"father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4];  one hundred (old)",,734.0,Y
估,4037,,gu1,,,,,,HSK_1-Common-05,,,estimate,,774.0,Y
伴,279,,ban4,,,,,,HSK_1-Common-05,,,partner;  companion,,728.0,Y
伶,6716,,ling2,,,,,,HSK_1-Common-05,,,clever/(old) actor/actress,,808.0,Y
伸,9246,,shen1,,,,,,HSK_1-Common-05,,,to stretch/to extend,,842.0,Y
但,3,,dan4,,,,,,HSK_1-Common-05,,,but;  yet,,749.0,Y
位,10491,,wei4,,,,,,HSK_1-Common-05,,,position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)/(physics) potential,,859.0,Y
低,2924,,di1,,,,,,HSK_1-Common-05,,,low/beneath/to lower (one's head)/to let droop/to hang down/to incline,,751.0,Y
住,13201,,zhu4,,,,,,HSK_1-Common-05,,,"to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)",,899.0,Y
体,10004,,ti3,,,體,,,HSK_1-Common-05,,,body/form/style/system/substance/to experience/aspect (linguistics),,850.0,Y
何,4388,,he2,,,,,,HSK_1-Common-05,,,what/how/why/which/carry,,779.0,Y
余,12286,,yu2,,,餘,,,HSK_1-Common-05,,,extra/surplus/remaining/remainder after division/(following numerical value) or more/in excess of (some number)/residue (math.)/after/I/me,,886.0,Y
佛,290,,fo2; fu2,,,,,,HSK_1-Common-05,,,Buddha;  Buddhism (abbr. for 佛陀[Fo2 tuo2]);  seemingly,,765.0,Y
作,13499,,zuo1; zuo4,,,,,,HSK_1-Common-05,,,"worker/workshop/(slang) troublesome/high-maintenance (person); to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works",,903.0,Y
你,7651,,ni3,,,,,,HSK_1-Common-05,,,"you (informal, as opposed to courteous 您[nin2])",,824.0,Y
佣,12126,,yong1,,,傭,,,HSK_1-Common-05,,,to hire/to employ/servant/hired laborer/domestic help,,882.0,Y
佣,12166,,yong4,,,,,,HSK_1-Common-05,,,commission (for middleman)/brokerage fee,,883.0,Y
免,7334,,mian3,,,,,,HSK_1-Common-05,,,to excuse sb/to exempt/to remove or dismiss from office/to avoid/to avert/to escape/to be prohibited,,819.0,Y
兵,1816,,bing1,,,,,,HSK_1-Common-05,,,soldiers/a force/an army/weapons/arms/military/warlike/CL:個|个[ge4],,732.0,Y
况,6094,,kuang4,,,況,,,HSK_1-Common-05,,,moreover/situation,,801.0,Y
冶,11754,,ye3,,,,,,HSK_1-Common-05,,,to smelt/to cast/seductive in appearance,,873.0,Y
冷,6388,,leng3,,,,,,HSK_1-Common-05,,,cold,,803.0,Y
冻,3135,,dong4,,,凍,,,HSK_1-Common-05,,,to freeze/to feel very cold/aspic or jelly,,755.0,Y
初,2418,,chu1,,,,,,HSK_1-Common-05,,,at first/(at the) beginning/first/junior/basic,,745.0,Y
删,9115,,shan1,,,刪,,,HSK_1-Common-05,,,to delete,,840.0,Y
判,7893,,pan4,,,,,,HSK_1-Common-05,,,to judge/to sentence/to discriminate/to discern/clearly distinguishable,,828.0,Y
利,6458,,li4,,,,,,HSK_1-Common-05,,,sharp/favorable/advantage/benefit/profit/interest/to do good to/to benefit,,804.0,Y
别,1792,,bie2,,,別,,,HSK_1-Common-05,,,"to leave; to part (from)/(literary) to differentiate; to distinguish/(bound form) other; another; different/don't ...!/to fasten with a pin or clip/to stick in; to insert (in order to hinder movement)/(noun suffix) category (e.g. 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])",,730.0,Y
别,1796,,bie4,,,彆,,,HSK_1-Common-05,,,"to make sb change their ways, opinions etc",,731.0,Y
努,7790,,nu3,,,,,,HSK_1-Common-05,,,to exert/to strive,,827.0,Y
劲,5473,,jin4,,,勁,,,HSK_1-Common-05,,,strength/energy/enthusiasm/spirit/mood/expression/interest/CL:把[ba3]/Taiwan pr. [jing4],,791.0,Y
劲,5538,,jing4,,,勁,,,HSK_1-Common-05,,,stalwart/sturdy/strong/powerful,,793.0,Y
即,4926,,ji2,,,,,,HSK_1-Common-05,,,namely/that is/i.e./prompt/at once/at present/even if/prompted (by the occasion)/to approach/to come into contact/to assume (office)/to draw near,,784.0,Y
卵,6982,,luan3,,,,,,HSK_1-Common-05,,,egg/ovum/spawn/(coll.) testicles/(old) penis/(expletive) fucking,,813.0,Y
君,5808,,jun1,,,,,,HSK_1-Common-05,,,monarch/lord/gentleman/ruler,,797.0,Y
含,4292,,han2,,,,,,HSK_1-Common-05,,,to keep in the mouth/to contain,,778.0,Y
启,8315,,qi3,,,啟,,,HSK_1-Common-05,,,to open/to start/to initiate/to enlighten or awaken/to state/to inform,,830.0,Y
告,3889,,gao4,,,,,,HSK_1-Common-05,,,to say/to tell/to announce/to report/to denounce/to file a lawsuit/to sue,,772.0,Y
坐,13513,,zuo4,,,,,,HSK_1-Common-05,,,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]",,904.0,Y
奉,3622,,feng4,,,,,,HSK_1-Common-05,,,"to offer (tribute)/to present respectfully (to superior, ancestor, deity etc)/to esteem/to revere/to believe in (a religion)/to wait upon/to accept orders (from superior)",,764.0,Y
妖,11682,,yao1,,,,,,HSK_1-Common-05,,,goblin/witch/devil/bewitching/enchanting/monster/phantom/demon,,872.0,Y
妙,7373,,miao4,,,玅,,,HSK_1-Common-05,,,variant of 妙[miao4];  clever/wonderful,,820.0,Y
妥,10302,,tuo3,,,,,,HSK_1-Common-05,,,suitable/adequate/ready/settled,,853.0,Y
妨,3485,,fang2,,,,,,HSK_1-Common-05,,,to hinder/(in the negative or interrogative) (no) harm/(what) harm,,761.0,Y
宋,949,,song4,,,,,,HSK_1-Common-05,,,surname Song/the Song dynasty (960-1279)/also Song of the Southern dynasties 南朝宋 (420-479),,847.0,Y
完,10350,,wan2,,,,,,HSK_1-Common-05,,,to finish/to be over/whole/complete/entire,,855.0,Y
宏,4478,,hong2,,,,,,HSK_1-Common-05,,,great/magnificent/macro (computing)/macro-,,780.0,Y
尾,10469,,wei3,,,,,,HSK_1-Common-05,,,tail/remainder/remnant/extremity/sixth of the 28 constellations/classifier for fish,,858.0,Y
尾,11863,,yi3,,,,,,HSK_1-Common-05,,,horse's tail/pointed posterior section of a locust etc,,874.0,Y
尿,7710,,niao4,,,,,,HSK_1-Common-05,,,to urinate/urine/CL:泡[pao1],,825.0,Y
尿,9718,,sui1,,,,,,HSK_1-Common-05,,,(coll.) urine,,849.0,Y
局,5651,,ju2,,,,,,HSK_1-Common-05,,,"office/situation/classifier for games: match, set, round etc",,795.0,Y
层,149,,ceng2,,,層,,,HSK_1-Common-05,,,to pile on top of one another/layer;  stratum/floor (of a building),,738.0,Y
岔,2068,,cha4,,,,,,HSK_1-Common-05,,,"fork in road/bifurcation/branch in road, river, mountain range etc/to branch off/to turn off/to diverge/to stray (from the path)/to change the subject/to interrupt/to stagger (times)",,739.0,Y
岗,202,,gang3,,,崗,,,HSK_1-Common-05,,,(bound form) hillock;  mound/sentry post,,771.0,Y
岗,3845,,gang1,,,崗,,,HSK_1-Common-05,,,variant of 岡|冈 [gang1],,769.0,Y
岛,2876,,dao3,,,島,,,HSK_1-Common-05,,,"island/CL:個|个[ge4],座[zuo4]",,750.0,Y
希,10699,,xi1,,,,,,HSK_1-Common-05,,,to hope/to admire/variant of 稀[xi1],,864.0,Y
帐,12773,,zhang4,,,帳,,,HSK_1-Common-05,,,covering veil/canopy/screen/tent/variant of 賬|账[zhang4],,892.0,Y
床,2498,,chuang2,,,牀,,,HSK_1-Common-05,,,variant of 床[chuang2];  bed/couch/classifier for beds/CL:張|张[zhang1],,746.0,Y
序,161,,xu4,,,,,,HSK_1-Common-05,,,(bound form) order;  sequence/(bound form) introductory,,870.0,Y
库,6036,,ku4,,,庫,,,HSK_1-Common-05,,,warehouse/storehouse/(file) library,,798.0,Y
应,12067,,ying1,,,應,,,HSK_1-Common-05,,,to agree (to do sth)/should/ought to/must/(legal) shall,,879.0,Y
应,12118,,ying4,,,應,,,HSK_1-Common-05,,,to answer/to respond/to comply with/to deal or cope with,,881.0,Y
弃,8338,,qi4,,,棄,,,HSK_1-Common-05,,,to abandon/to relinquish/to discard/to throw away,,831.0,Y
弟,2977,,di4,,,,,,HSK_1-Common-05,,,younger brother/junior male/I (modest word in letter),,752.0,Y
张,12754,,zhang1,,,張,,,HSK_1-Common-05,,,"to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes",,891.0,Y
役,11908,,yi4,,,,,,HSK_1-Common-05,,,forced labor/corvée/obligatory task/military service/to use as servant/to enserf/servant (old)/war/campaign/battle,,875.0,Y
彻,2203,,che4,,,徹,,,HSK_1-Common-05,,,thorough/penetrating/to pervade/to pass through,,741.0,Y
忌,4992,,ji4,,,,,,HSK_1-Common-05,,,to be jealous of/fear/dread/scruple/to avoid or abstain from/to quit/to give up sth,,786.0,Y
忍,8852,,ren3,,,,,,HSK_1-Common-05,,,to bear/to endure/to tolerate/to restrain oneself,,837.0,Y
忘,10406,,wang4,,,,,,HSK_1-Common-05,,,to forget/to overlook/to neglect,,857.0,Y
忧,12173,,you1,,,憂,,,HSK_1-Common-05,,,to worry/to concern oneself with/worried/anxiety/sorrow/(literary) to observe mourning,,884.0,Y
快,6058,,kuai4,,,,,,HSK_1-Common-05,,,rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant,,799.0,Y
怀,4634,,huai2,,,懷,,,HSK_1-Common-05,,,bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child),,781.0,Y
我,212,,wo3,,,,,,HSK_1-Common-05,,,I;  me,,861.0,Y
改,3792,,gai3,,,,,,HSK_1-Common-05,,,to change/to alter/to transform/to correct,,767.0,Y
条,10066,,tiao2,,,條,,,HSK_1-Common-05,,,"strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)",,851.0,Y
武,10641,,wu3,,,,,,HSK_1-Common-05,,,martial/military,,863.0,Y
每,7212,,mei3,,,,,,HSK_1-Common-05,,,each/every,,816.0,Y
汪,10388,,wang1,,,,,,HSK_1-Common-05,,,"expanse of water/ooze/(onom.) bark/classifier for liquids: pool, puddle",,856.0,Y
汽,8342,,qi4,,,,,,HSK_1-Common-05,,,steam/vapor,,832.0,Y
沃,10587,,wo4,,,,,,HSK_1-Common-05,,,fertile/rich/to irrigate/to wash (of river),,862.0,Y
沈,9280,,shen3,,,瀋,,,HSK_1-Common-05,,,liquid/to pour,,844.0,Y
沉,2220,,chen2,,,,,,HSK_1-Common-05,,,to submerge/to immerse/to sink/to keep down/to lower/to drop/deep/profound/heavy,,743.0,Y
沙,9084,,sha1,,,,,,HSK_1-Common-05,,,granule/hoarse/raspy/sand/powder/CL:粒[li4]/abbr. for Tsar or Tsarist Russia,,838.0,Y
沟,4008,,gou1,,,溝,,,HSK_1-Common-05,,,ditch/gutter/groove/gully/ravine/CL:道[dao4],,773.0,Y
没,192,,mei2,,,沒,,,HSK_1-Common-05,,,(negative prefix for verbs) have not;  not,,815.0,Y
没,7468,,mo4,,,沒,,,HSK_1-Common-05,,,drowned/to end/to die/to inundate,,821.0,Y
泛,3469,,fan4,,,,,,HSK_1-Common-05,,,"(bound form) general/non-specific/extensive/pan-/to flood/(literary) to float about/to be suffused with (a color, emotion, odor etc)",,759.0,Y
灵,6752,,ling2,,,靈,,,HSK_1-Common-05,,,quick/alert/efficacious/effective/to come true/spirit/departed soul/coffin,,809.0,Y
灶,207,,zao4,,,,,,HSK_1-Common-05,,,kitchen stove/kitchen;  mess,,888.0,Y
灾,12542,,zai1,,,災,,,HSK_1-Common-05,,,disaster/calamity,,887.0,Y
灿,1981,,can4,,,燦,,,HSK_1-Common-05,,,glorious/bright/brilliant/lustrous/resplendent,,737.0,Y
牢,6304,,lao2,,,,,,HSK_1-Common-05,,,firm/sturdy/fold (for animals)/sacrifice/prison,,802.0,Y
状,13278,,zhuang4,,,狀,,,HSK_1-Common-05,,,accusation/suit/state/condition/strong/great/-shaped,,900.0,Y
犹,12185,,you2,,,猶,,,HSK_1-Common-05,,,as if/(just) like/just as/still/yet,,885.0,Y
狂,6083,,kuang2,,,,,,HSK_1-Common-05,,,mad/wild/violent,,800.0,Y
玩,10356,,wan2,,,翫,,,HSK_1-Common-05,,,"variant of 玩[wan2]/Taiwan pr. [wan4]; to play/to have fun/to trifle with/toy/sth used for amusement/curio or antique (Taiwan pr. [wan4])/to keep sth for entertainment
",,854.0,Y
环,4657,,huan2,,,環,,,HSK_1-Common-05,,,ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in,,782.0,Y
现,10956,,xian4,,,現,,,HSK_1-Common-05,,,to appear/present/now/existing/current,,867.0,Y
疗,6618,,liao2,,,療,,,HSK_1-Common-05,,,to treat/to cure/therapy,,806.0,Y
皂,12607,,zao4,,,,,,HSK_1-Common-05,,,soap/black,,889.0,Y
社,182,,she4,,,,,,HSK_1-Common-05,,,(bound form) society;  organization,,841.0,Y
秀,11244,,xiu4,,,,,,HSK_1-Common-05,,,handsome/refined/elegant/graceful/superior/show (loanword)/CL:場|场[chang2]/(literary) to grow/to bloom/(of crops) to produce ears,,869.0,Y
私,9581,,si1,,,,,,HSK_1-Common-05,,,personal/private/selfish,,846.0,Y
秃,10191,,tu1,,,禿,,,HSK_1-Common-05,,,bald/blunt,,852.0,Y
究,5585,,jiu1,,,,,,HSK_1-Common-05,,,after all/to investigate/to study carefully/Taiwan pr. [jiu4],,794.0,Y
穷,8624,,qiong2,,,窮,,,HSK_1-Common-05,,,poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly,,834.0,Y
系,5018,,ji4,,,繫,,,HSK_1-Common-05,,,to tie/to fasten/to button up,,785.0,Y
系,10809,,xi4,,,係,,,HSK_1-Common-05,,,to connect/to relate to/to tie up/to bind/to be (literary); system/department/faculty; to connect/to arrest/to worry,,865.0,Y
纯,2537,,chun2,,,純,,,HSK_1-Common-05,,,pure/simple/unmixed/genuine,,747.0,Y
纱,9088,,sha1,,,紗,,,HSK_1-Common-05,,,cotton yarn/muslin,,839.0,Y
纲,3851,,gang1,,,綱,,,HSK_1-Common-05,,,head rope of a fishing net/guiding principle/key link/class (taxonomy)/outline/program,,770.0,Y
纳,7545,,na4,,,納,,,HSK_1-Common-05,,,to receive/to accept/to enjoy/to bring into/to pay (tax etc)/nano- (one billionth)/to reinforce sole of shoes or stockings by close sewing,,823.0,Y
纵,13428,,zong4,,,縱,,,HSK_1-Common-05,,,warp (the vertical threads in weaving)/vertical/longitudinal/north-south (lines of longitude)/lengthwise/to release/to indulge/even if,,901.0,Y
纷,3552,,fen1,,,紛,,,HSK_1-Common-05,,,numerous/confused/disorderly,,763.0,Y
纸,13009,,zhi3,,,紙,,,HSK_1-Common-05,,,"paper/CL:張|张[zhang1],沓[da2]/classifier for documents, letter etc",,897.0,Y
纹,10534,,wen2,,,紋,,,HSK_1-Common-05,,,line/trace/mark/pattern/grain (of wood etc),,860.0,Y
纺,3496,,fang3,,,紡,,,HSK_1-Common-05,,,to spin (cotton or hemp etc)/fine woven silk fabric,,762.0,Y
纽,7766,,niu3,,,紐,,,HSK_1-Common-05,,,to turn/to wrench/button/nu (Greek letter Νν),,826.0,Y
肚,3203,,du4,,,,,,HSK_1-Common-05,,,belly,,756.0,Y
肝,3821,,gan1,,,,,,HSK_1-Common-05,,,"liver/CL:葉|叶[ye4],個|个[ge4]/(slang) to put in long hours, typically late into the night, playing (a video game)/(of a video game) involving a lot of repetition in order to progress; grindy",,768.0,Y
肠,2156,,chang2,,,腸,,,HSK_1-Common-05,,,intestines,,740.0,Y
良,6580,,liang2,,,,,,HSK_1-Common-05,,,good/very/very much,,805.0,Y
补,1921,,bu3,,,補,,,HSK_1-Common-05,,,to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement,,735.0,Y
