zi,part
坦,土
坦,旦
坪,土
坪,平
坫,占
坫,土
坯,土
坱,土
坱,央
坳,土
坴,八
坴,土
坶,土
坶,母
坷,可
坷,土
坺,土
坻,土
坼,土
坿,土
垃,土
垃,立
垄,土
垄,龙
型,土
垍,土
垍,自
垎,各
垎,土
垐,土
垑,土
垒,厽
垒,土
垓,土
垔,土
垔,覀
垗,土
垛,土
垜,土
垝,土
垠,土
垠,艮
垢,土
垣,土
垤,土
垤,至
垦,土
垦,艮
垫,土
垮,土
垷,土
垸,土
垽,土
埂,土
埃,土
埋,土
埋,里
埍,土
埍,肙
城,土
埏,土
埐,土
埒,土
域,土
域,或
埠,土
埠,阜
埤,土
埩,土
埱,土
埴,土
埵,土
埸,土
埸,易
培,土
基,其
基,土
埻,土
埽,土
埾,土
堀,土
堂,土
堂,尚
堃,土
堃,方
堅,土
堆,土
堆,隹
堇,丰
堇,口
堇,土
堊,土
堋,土
堕,土
堛,土
堛,畐
堡,土
堣,土
堤,土
堨,土
堪,土
堫,土
堰,土
場,土
堵,土
堵,者
塌,土
塌,曰
塌,羽
塍,丷
塍,土
塍,夫
塍,月
塏,土
塑,土
塒,土
塓,土
塔,土
塗,土
塘,土
塙,土
塙,高
塞,土
塞,宀
塡,土
填,土
塹,土
塺,土
塺,麻
塾,土
塿,土
墀,土
境,土
墅,土
墇,土
墉,土
墊,土
墐,土
墓,土
墙,土
墜,土
增,土
墠,土
墣,土
墨,土
墨,黑
墩,土
墫,士
墳,土
墺,土
墼,土
墽,土
壁,土
壇,土
壎,土
壐,土
壒,土
壓,土
壔,土
壕,土
壘,土
壙,土
壚,土
壞,土
壟,土
壤,土
士,一
士,十
壮,丬
壮,士
壯,士
壯,爿
声,士
壴,十
壴,豆
壶,业
壶,冖
壶,士
壹,冖
壹,士
壹,豆
壻,士
夃,乃
夃,又
夃,夂
处,卜
处,夂
夆,丰
夆,夂
备,夂
备,田
夋,夊
夌,八
夌,土
夌,夂
复,夂
复,日
夎,夊
夏,夂
夐,人
外,卜
外,夕
夗,㔾
夗,夕
多,夕
夜,丶
夜,亠
夜,亻
夜,夂
夝,夕
夝,生
够,句
夤,夕
天,一
天,大
太,丶
太,大
夫,二
夫,人
夭,丿
夭,大
央,冂
央,大
夯,力
夯,大
失,丿
夲,十
夲,大
头,大
夷,大
夷,弓
夸,亏
夸,大
夺,大
夺,寸
夽,云
夽,大
奃,大
奄,大
奄,电
奅,大
奇,可
奇,大
奈,大
奈,示
奉,廾
奋,大
奋,田
奎,大
奏,三
奏,人
契,大
奔,大
奕,大
奖,丬
奖,夕
奖,大
套,大
奚,大
奚,幺
奚,爫
奞,大
奞,隹
奠,大
奢,大
奢,者
奥,丿
奥,冂
奥,大
奥,米
奪,又
奪,寸
奭,大
奯,大
奴,又
奴,女
奶,乃
奶,女
奸,女
奸,干
她,也
她,女
奼,女
好,女
好,子
妀,女
妀,己
妁,勺
妁,女
如,口
如,女
妃,女
妃,己
妄,亡
妄,女
妆,丬
妆,女
妇,女
妇,彐
妈,女
妊,女
妌,井
妌,女
妎,介
妎,女
妒,女
妒,戶
妓,女
妓,支
妖,女
妗,今
妗,女
妘,云
妘,女
妙,女
妙,少
妟,女
妟,日
妣,女
妣,比
妥,女
妥,爫
妨,女
妨,方
妭,女
妯,女
妯,由
妲,女
妲,旦
妴,女
妵,女
妸,可
妸,女
妹,女
妹,未
妻,一
妻,女
妾,女
妾,立
妿,女
姁,句
姁,女
姂,女
姅,半
姅,女
姆,女
姆,母
姊,女
始,台
始,女
姎,央
姎,女
姐,且
姐,女
姑,古
姑,女
姓,女
姓,生
委,女
委,禾
姕,女
姘,女
姘,幷
姚,女
姜,女
姜,羊
姝,女
姞,吉
姞,女
姡,女
姣,交
姣,女
姤,女
姥,女
姥,老
姨,女
姪,女
姪,至
姬,女
姰,女
姶,合
姶,女
姷,女
姸,女
姺,女
姻,女
姼,女
姽,女
姿,女
娀,女
娀,戎
威,女
娃,女
娄,女
娄,米
娇,女
娉,女
娋,女
娎,女
娑,女
娒,女
娓,女
娕,女
娗,女
娘,女
娘,良
娙,坙
娙,女
娛,女
娜,女
娜,那
娝,女
娟,女
娟,肙
娠,女
娠,辰
娣,女
娥,女
娧,女
娩,女
娭,女
娱,女
娶,女
娷,女
娸,其
娸,女
娹,女
娺,女
娽,女
娿,女
婆,女
婉,女
婐,女
婓,女
婓,非
婕,女
婗,女
婚,女
婜,女
婞,女
婟,女
婠,女
婢,女
婤,女
婥,女
婧,女
婧,青
婪,女
婬,女
婴,女
婴,贝
婶,女
婺,女
婼,女
婿,女
媁,女
媄,女
媅,女
媆,女
媊,女
媌,女
媐,女
媒,女
媕,女
媚,女
媛,女
媞,女
媟,女
媢,女
媣,女
媥,女
媦,女
媧,女
媮,女
媰,女
媱,女
媲,女
媳,女
媻,女
媼,女
媾,女
媿,女
媿,鬼
嫁,女
嫂,女
嫄,女
嫇,女
嫉,女
嫋,女
嫌,兼
嫌,女
嫖,女
嫗,女
嫙,女
嫚,女
嫛,女
嫠,厂
嫠,女
嫠,攵
嫠,未
嫡,女
嫢,女
嫣,女
嫥,女
嫧,女
嫩,女
嫪,女
嫯,女
嫳,女
嫴,女
嫵,女
嫷,女
嫸,女
嫺,女
嫼,女
嫼,黑
嫽,女
嫿,女
嬀,女
嬈,女
嬋,女
嬌,女
嬐,女
嬒,女
嬖,女
嬗,女
嬛,女
嬥,女
嬩,女
嬪,女
嬬,女
嬮,女
嬯,女
嬹,女
嬻,女
嬽,女
嬾,女
嬿,女
孁,女
孂,女
孃,女
孅,女
孈,女
孌,女
孎,女
子,一
子,了
孔,乚
孔,子
孕,乃
孕,子
字,子
存,子
孙,子
孙,小
孚,子
孚,爪
孛,冖
孛,十
孛,子
孜,子
孜,攵
孝,子
孟,子
孟,皿
季,子
季,禾
孤,子
孤,瓜
学,冖
学,子
学,小
孩,子
孫,子
孰,丸
孰,亠
孰,口
孰,子
孳,子
孴,曰
孵,孚
孺,子
孼,子
孽,子
孿,子
孿,纟
孿,言
它,匕
它,宀
宄,九
宄,宀
宅,宀
宇,于
宇,宀
守,宀
守,寸
安,女
宋,宀
宋,木
完,元
完,宀
宏,宀
宓,宀
宓,必
宔,宀
宖,宀
宗,宀
宗,示
官,宀
宙,宀
宙,由
定,宀
定,正
宛,宀
宜,且
宜,宀
宝,宀
宝,玉
实,头
实,宀
宠,宀
宠,龙
审,宀
审,申
客,各
客,宀
宣,宀
室,宀
室,至
宥,宀
宦,宀
宦,臣
宧,宀
宪,宀
宫,吕
宫,宀
宬,宀
宭,宀
宰,宀
宰,辛
害,丰
害,口
害,宀
宴,宀
宵,宀
家,宀
家,豕
宷,宀
宷,釆
宸,宀
宸,辰
容,宀
容,谷
宽,宀
宽,艹
宽,见
宾,宀
宿,亻
宿,宀
寀,宀
寁,宀
寂,宀
寄,宀
密,宀
密,山
密,必
寇,元
寇,宀
寇,攴
富,宀
富,畐
寏,宀
寑,宀
寑,钅
寒,井
寒,冫
寒,宀
寓,宀
寔,宀
寖,氵
寝,丬
寝,又
寝,宀
寞,宀
察,宀
寠,宀
寡,分
寡,宀
寡,页
寥,宀
實,宀
寨,宀
寨,木
寪,宀
寫,宀
寬,宀
寰,宀
寴,宀
寵,宀
寶,王
寶,缶
寷,宀
寸,一
寸,又
对,又
对,寸
寺,土
寺,寸
寻,彐
寽,一
寿,丰
寿,寸
封,寸
尃,寸
尃,甫
射,寸
射,身
将,丬
将,夕
将,寸
專,寸
尉,寸
尉,尸
尉,示
尊,寸
尌,寸
對,口
對,寸
導,寸
小,亅
小,八
尐,乀
尐,小
少,丿
少,小
尖,大
尖,小
尗,上
尗,小
尘,土
尚,冂
尚,口
尚,小
尝,云
尝,冖
尝,小
尞,小
尞,日
尞,火
尢,乙
尢,又
尤,丶
尤,尢
尥,勺
尨,彡
尨,犬
尬,介
就,尤
尲,兼
尳,骨
尻,九
尻,尸
尼,匕
尼,尸
尽,冫
尾,尸
尾,毛
尿,尸
尿,水
局,口
局,尸
屁,尸
屁,比
层,云
居,古
居,尸
屆,尸
屈,出
屈,尸
屉,尸
届,尸
届,由
屋,尸
屋,至
屍,尸
屎,尸
屎,米
屏,尸
屏,幷
屑,尸
屒,尸
屒,辰
展,尸
屖,尸
屖,辛
屝,尸
屝,非
属,尸
屟,尸
屠,尸
屠,者
屡,尸
層,尸
履,尸
屹,乞
屹,山
屺,山
屺,己
屿,与
屿,山
岁,山
岂,山
岂,己
岌,及
岌,山
岑,今
岑,山
岔,山
岖,区
岖,山
岗,冈
岗,山
岛,山
岛,鸟
岡,山
岡,网
岨,且
岨,山
岩,山
岩,石
岪,山
岫,山
岫,由
岭,令
岭,山
岱,山
岳,丘
岳,山
岵,古
岵,山
岸,厂
岸,山
岸,干
峋,山
峡,山
峦,山
峨,山
峭,山
峯,夆
峯,山
峰,夆
峰,山
峱,丑
峱,山
峱,犭
峻,山
峼,山
崇,山
崎,山
崑,山
崒,山
崔,山
崔,隹
崙,山
崛,山
崝,山
崝,青
崞,山
崟,山
崟,金
崩,山
崭,山
崵,山
嵌,山
嵌,欠
嵌,甘
嵍,山
嵎,山
嵏,山
嵟,隹
嵩,山
嵩,高
嵬,山
嵬,鬼
嵯,山
嶅,山
嶘,山
嶙,山
嶞,山
嶠,山
嶢,山
嶧,山
嶷,山
嶸,山
嶺,山
嶼,山
嶽,山
巀,山
巍,山
巒,山
巖,山
州,丶
巟,亡
巟,川
巡,巛
巢,巛
左,一
左,丿
左,工
巧,工
巩,工
巫,人
巫,工
差,工
差,羊
巷,共
巾,丨
巾,冂
市,亠
市,巾
布,一
布,丿
布,巾
帅,巾
帆,巾
帊,巴
帊,巾
希,乂
希,布
帐,巾
帐,长
帑,巾
帒,巾
帔,巾
帔,皮
帕,巾
帕,白
帖,占
帖,巾
帗,巾
帘,巾
帘,穴
帙,失
帙,巾
帚,冖
帚,巾
帚,彐
帛,巾
帛,白
帜,只
帜,巾
帝,冖
帝,巾
帟,巾
帣,丷
帣,夫
帣,巾
帤,巾
带,冖
带,巾
帬,巾
席,巾
席,广
帮,巾
帳,巾
帴,巾
帷,巾
帷,隹
常,尚
常,巾
帽,巾
幃,巾
幅,巾
幅,畐
幋,巾
幌,巾
幎,巾
幏,巾
幐,丷
幐,夫
幐,巾
幐,月
幔,巾
幕,巾
幖,巾
幗,巾
幘,巾
幝,巾
幞,巾
幟,巾
幠,巾
幡,巾
幢,巾
幣,巾
幦,巾
幧,巾
幩,巾
幬,巾
幭,巾
幰,巾
干,一
干,十
并,开
幸,丷
幸,土
幸,干
幻,幺
幼,力
幼,幺
幽,山
广,丶
广,厂
庄,土
庆,广
庇,广
庇,比
庉,屯
庉,广
床,广
床,木
庌,广
庌,牙
序,广
庐,广
庐,户
库,车
应,一
应,小
应,广
底,广
庖,包
庖,广
店,占
店,广
庙,广
庙,由
府,广
庞,广
庞,龙
废,广
庠,广
庠,羊
庢,广
庢,至
庤,寺
庤,广
度,又
度,广
座,广
庪,广
庭,广
庮,广
庮,酉
庰,幷
庰,广
庳,广
庵,广
庶,广
庶,灬
康,广
康,隶
庸,广
庸,用
庾,广
廁,广
廂,广
廈,广
廉,兼
廉,广
廊,广
廏,广
廑,广
廓,广
廔,广
廙,广
廚,广
廞,广
廟,广
廡,广
廢,广
廣,广
廥,广
廦,广
廫,广
廬,广
廮,广
廱,广
延,丿
延,廴
延,止
廷,廴
建,廴
建,聿
异,廾
弃,亠
弃,厶
弃,廾
弄,廾
弇,合
弇,廾
弈,廾
弊,廾
式,工
式,弋
引,丨
引,弓
弗,乀
弘,厶
弘,弓
弙,于
弙,弓
弛,也
弛,弓
弟,丷
弟,丿
张,弓
张,长
弢,弓
弥,弓
弦,弓
弦,玄
弧,弓
弧,瓜
弨,弓
弩,弓
弭,弓
弭,耳
弯,弓
弲,弓
弲,肙
弴,弓
張,弓
強,虫
弸,弓
弹,弓
强,弓
彀,士
彀,弓
彀,殳
彃,弓
彄,弓
彈,弓
彉,弓
彊,弓
彊,畺
彎,弓
彏,弓
归,彐
当,小
当,彐
录,彐
录,水
彗,丰
彗,彐
彘,彑
彘,矢
形,彡
彣,彡
彣,文
彤,彡
彥,厂
彩,彡
彪,彡
彫,彡
彬,彡
彭,彡
彰,彡
影,彡
彶,及
彶,彳
役,彳
役,殳
彻,彳
彼,彳
彼,皮
往,彳
征,彳
征,正
径,坙
径,彳
待,寺
待,彳
很,彳
很,艮
徊,彳
律,彳
律,聿
徎,彳
徐,彳
徑,彳
徒,彳
徒,走
得,一
得,寸
得,彳
得,日
徘,彳
徘,非
徙,彳
徙,止
徙,疋
徛,彳
御,彳
徥,彳
徦,彳
徧,彳
復,彳
循,彳
徬,彳
微,一
微,几
微,山
微,彳
微,攵
徯,彳
徲,彳
德,十
德,彳
德,罒
徹,彳
徹,攵
徼,彳
徽,山
徽,彳
徽,攵
徽,糸
忂,彳
必,丿
必,心
忆,乙
忆,忄
忌,己
忌,心
忍,刃
忍,心
忒,弋
忒,心
忓,干
忓,心
忖,寸
忖,忄
志,士
忘,亡
忘,心
忙,亡
忙,忄
忝,丶
忝,天
忝,小
忞,心
忞,文
忠,中
忠,心
忡,中
忡,忄
忥,心
忥,气
忦,介
忦,心
忧,尤
忧,忄
忨,元
忨,心
快,忄
忮,忄
忮,支
忯,心
忯,氏
忱,忄
念,今
念,心
忻,忄
忻,斤
忼,亢
忼,心
忽,勿
忽,心
忿,分
忿,心
怀,不
怀,忄
态,太
态,心
怊,忄
怋,心
怎,乍
怎,心
怏,央
怏,忄
怒,心
怓,心
怔,忄
怔,正
怕,忄
怕,白
怖,布
怖,忄
怙,古
怙,忄
怚,且
怚,忄
怛,忄
怛,旦
怜,令
怜,忄
思,心
思,田
怞,忄
怞,由
怠,台
怠,心
怡,台
怡,忄
怤,心
急,刍
急,心
性,忄
性,生
怨,心
怩,尼
怩,忄
怪,圣
怪,忄
怫,忄
怮,心
怯,去
怯,忄
怱,心
怲,丙
怲,忄
怵,忄
怵,术
总,丷
总,口
总,心
恁,心
恂,忄
恃,寺
恃,忄
恉,忄
恊,心
恋,心
恍,忄
恐,心
恑,心
恒,忄
恔,交
恔,忄
恕,心
恙,心
恙,羊
恚,心
恢,忄
恢,灰
恣,心
恤,忄
恤,血
恥,心
恥,耳
恧,心
恧,而
恨,忄
恨,艮
恩,心
恫,忄
恬,忄
恬,舌
恭,共
恭,心
恮,心
息,心
息,自
恰,合
恰,忄
恳,心
恳,艮
恶,心
恼,乂
恼,亠
恼,凵
恼,忄
悁,忄
悁,肙
悃,忄
悄,忄
悆,心
悈,心
悈,戒
悉,心
悉,釆
悊,心
悌,忄
悍,忄
悑,忄
悑,甫
悒,忄
悒,邑
悔,忄
悛,忄
悝,忄
悝,里
悟,忄
悠,心
患,心
悦,忄
您,心
悬,心
悯,忄
悰,忄
悱,忄
悱,非
悲,心
悲,非
悳,心
悴,忄
悵,心
悶,心
悸,忄
悹,心
悼,忄
悽,心
惀,心
惂,心
惄,心
情,忄
情,青
惆,忄
惇,忄
惉,心
惊,忄
惋,忄
惎,其
惎,心
惏,忄
惑,心
惑,或
惔,忄
惕,忄
惕,易
惙,忄
惛,忄
惜,忄
惟,忄
惟,隹
惠,心
惡,心
惢,心
惦,忄
惧,忄
惨,忄
惩,心
惫,心
惭,忄
惯,忄
惰,忄
惰,月
惲,心
想,心
惴,忄
惶,忄
惷,心
惹,心
惻,心
愁,心
愃,忄
愆,心
愉,忄
愊,忄
愊,畐
愍,心
意,心
意,音
愐,忄
愐,面
愒,忄
愓,心
愕,忄
愙,心
愚,心
愛,夊
感,咸
感,心
愤,忄
愧,忄
愧,鬼
愨,心
愪,心
愴,心
愵,心
愷,心
愻,心
愼,心
愾,心
愿,心
慁,心
慅,忄
慆,忄
慇,心
慈,心
慉,忄
慊,兼
慊,忄
態,心
慌,忄
慍,心
慎,忄
慒,心
慓,心
慔,心
慕,心
慘,心
慙,心
慟,心
慢,忄
慧,心
慨,忄
慮,虍
慰,心
慲,心
慴,心
慵,忄
慶,夂
慶,心
慷,忄
慸,心
慹,心
慽,心
憀,忄
憂,夊
憃,心
憋,心
憌,心
憎,忄
憐,心
憒,心
憔,忄
憕,心
憖,心
憙,心
憚,心
憝,心
憤,心
憧,忄
憨,心
憪,心
憬,忄
憭,忄
憮,心
憯,忄
憰,心
憲,心
憲,目
憸,心
憺,忄
憼,心
憾,忄
憿,心
懁,心
懂,忄
懆,忄
懇,心
懈,忄
應,心
懊,忄
懋,心
懌,心
懒,忄
懕,心
懖,心
懘,心
懜,心
懝,心
懟,心
懣,心
懦,忄
懬,心
懱,忄
懲,心
懷,心
懼,心
懽,心
懾,心
戁,心
戇,心
戉,戈
戋,戈
戎,十
戎,戈
戏,又
我,丿
我,戈
我,扌
戒,廾
戒,戈
戔,戈
戕,戈
戕,爿
或,戈
战,占
战,戈
戛,戈
戠,戈
戠,音
戡,戈
戢,戈
戣,戈
戩,戈
截,十
截,戈
截,隹
戭,戈
戮,戈
戰,戈
戲,戈
戳,戈
戳,羽
戳,隹
戴,十
戴,戈
戹,乙
戹,戶
戻,大
戻,戶
房,户
房,方
所,戶
所,斤
扁,户
扃,戶
扆,戶
扆,衣
扇,户
扇,羽
扈,户
扈,邑
扉,戶
扉,非
扎,乚
扎,扌
扐,力
扐,扌
扑,卜
扑,扌
扒,八
扒,扌
打,丁
打,扌
扔,乃
扔,扌
托,扌
扚,勺
扚,手
扛,工
扛,扌
扜,亏
扜,手
扞,干
扞,手
扟,手
扣,口
扣,扌
扤,扌
执,丸
执,扌
扩,广
扩,扌
扫,彐
扫,扌
扬,扌
扭,丑
扭,扌
扮,分
扮,扌
扯,扌
扯,止
扰,尤
扰,扌
扱,及
扱,扌
扳,扌
扴,介
扴,手
扶,夫
扶,扌
批,扌
批,比
扺,手
扺,氏
扼,扌
找,扌
承,三
技,扌
技,支
抄,扌
抈,扌
抈,月
抉,扌
把,巴
把,扌
抌,扌
抍,升
抍,手
抎,云
抎,手
抑,扌
抒,扌
抓,扌
投,扌
投,殳
抖,扌
抖,斗
抗,亢
抗,扌
折,扌
折,斤
抚,扌
抚,无
抛,九
抛,力
抛,尤
抛,扌
抠,区
抠,扌
抡,扌
抢,仓
抢,扌
护,扌
报,卩
报,扌
抧,只
抧,手
抨,平
抨,扌
抪,布
抪,手
披,扌
披,皮
抬,台
抬,扌
抯,且
抯,手
抰,央
抰,手
抱,包
抱,扌
抲,可
抲,手
抴,扌
抵,扌
抶,失
抶,扌
抹,扌
抹,末
押,扌
押,甲
抽,扌
抽,由
拂,扌
拄,扌
担,扌
担,旦
拆,扌
拆,斥
拇,扌
拇,母
拈,占
拈,扌
拉,扌
拉,立
拊,扌
拌,半
拌,扌
拍,扌
拍,白
拏,手
拐,另
拐,扌
拑,扌
拑,甘
拒,巨
拒,扌
拓,扌
拓,石
拔,扌
拕,它
拕,手
拖,也
拖,扌
拗,扌
拘,句
拘,扌
拙,出
拙,扌
拚,扌
招,扌
拜,手
拟,以
拟,扌
拢,扌
拢,龙
拣,一
拣,东
拣,扌
拥,扌
拥,用
拦,兰
拦,扌
拧,宁
拧,扌
拨,扌
择,丨
择,二
择,又
择,扌
括,扌
括,舌
拭,式
拭,扌
拮,吉
拮,扌
拯,扌
拱,共
拱,扌
拲,共
拲,手
拳,丷
拳,夫
拳,手
拴,扌
拷,扌
拹,手
拼,并
拼,扌
拾,合
拾,扌
拿,合
拿,手
持,寺
持,扌
挂,扌
挃,手
挃,至
指,扌
挈,手
按,扌
挋,手
挋,臣
挌,各
挌,扌
挎,扌
挏,手
挐,扌
挑,扌
挖,扌
挚,手
挟,扌
挠,尧
挠,扌
挡,扌
挣,扌
挤,扌
挤,齐
挥,扌
挨,扌
挪,扌
挪,那
挫,扌
振,扌
振,辰
挶,扌
挹,扌
挹,邑
挺,扌
挻,手
挽,扌
挾,手
捀,夆
捀,手
捂,扌
捄,手
捅,扌
捆,扌
捇,手
捇,赤
捈,手
捉,扌
捉,足
捊,孚
捊,手
捋,扌
捌,扌
捍,扌
捎,扌
捏,扌
捐,扌
捐,肙
捕,扌
捕,甫
捘,扌
捝,手
捞,扌
损,员
损,扌
捡,佥
捡,扌
换,奂
换,扌
捣,扌
捦,手
捦,金
捧,奉
捧,扌
捨,手
捪,手
捫,手
捭,扌
据,扌
捲,手
捶,扌
捷,扌
捺,扌
捻,扌
捼,扌
捽,扌
捾,手
掀,扌
掂,扌
掄,手
掇,扌
授,扌
掉,扌
掊,扌
掌,尚
掌,手
掍,扌
掎,扌
掏,匋
掏,扌
掐,扌
排,扌
排,非
掔,扌
掕,手
掖,扌
掘,扌
掠,扌
探,扌
掤,扌
接,扌
控,扌
推,扌
推,隹
掩,扌
措,扌
掫,扌
掰,分
掰,手
掷,扌
掸,扌
掺,扌
掾,扌
揂,手
揃,扌
揄,扌
揆,扌
揉,扌
揍,扌
描,扌
提,扌
插,扌
揖,扌
揗,扌
揙,手
揚,手
換,手
揜,扌
揟,手
揠,扌
握,扌
揣,扌
揤,手
揩,扌
揪,扌
揫,手
揭,扌
揮,手
揯,手
揱,手
揲,扌
援,扌
揽,扌
搀,冫
搀,扌
搁,扌
搂,扌
搅,扌
搈,手
搉,扌
損,手
搏,扌
搑,手
搒,扌
搓,扌
搔,扌
搖,手
搜,扌
搞,扌
搞,高
搢,扌
搣,扌
搤,手
搦,扌
搪,扌
搫,手
搬,扌
搭,扌
搯,手
搰,扌
搰,骨
搳,扌
搵,手
搹,手
搹,鬲
携,扌
摄,扌
摆,扌
摇,扌
摊,扌
摍,手
摎,扌
摔,扌
摕,手
摘,扌
摛,扌
摜,手
摟,手
摡,手
摦,扌
摧,扌
摩,手
摩,麻
摬,手
摯,手
摲,扌
摳,手
摴,扌
摵,手
摶,手
摷,扌
摸,扌
摹,手
摺,扌
摼,手
摽,扌
撅,扌
撆,手
撇,扌
撎,手
撑,扌
撒,扌
撓,手
撕,扌
撚,扌
撝,手
撞,扌
撟,手
撢,扌
撣,手
撤,扌
撤,攵
撥,手
撩,扌
撫,手
撬,扌
播,扌
撮,扌
撲,手
撵,扌
撻,手
撼,扌
撿,手
擂,扌
擅,扌
擇,手
擊,手
操,扌
擎,手
擐,扌
擒,扌
擖,扌
擘,手
據,手
擠,手
擢,扌
擣,扌
擦,扌
擧,手
擩,扌
擪,手
擬,手
擭,扌
擸,扌
擿,扌
攀,大
攀,手
攈,扌
攎,手
攐,扌
攒,扌
攕,手
攘,扌
攙,手
攜,手
攝,手
攣,手
攤,手
攩,手
攪,手
攫,扌
支,十
支,又
攲,支
攴,卜
攴,又
收,攵
攷,攵
攸,攵
改,己
改,攵
攺,攵
攻,工
攻,攵
攽,分
攽,攵
放,攵
放,方
政,攵
政,正
敀,攵
敀,白
敂,句
敂,攵
敃,攵
敄,攵
敄,矛
故,古
故,攵
敇,攵
效,交
效,攵
敉,攵
敉,米
敊,支
敌,攵
敌,舌
敏,攵
救,攵
敒,攵
敓,攵
敔,攵
敕,攵
敖,出
敖,土
敖,攵
敖,方
敘,攵
教,攵
敛,佥
敛,攵
敜,攵
敝,攵
敞,尚
敞,攵
敟,攵
敡,攵
敡,易
敢,乛
敢,攵
敢,耳
散,井
散,攵
散,月
敦,攵
敫,攵
敫,方
敫,白
敬,攵
敯,攵
数,攵
敲,攴
敲,高
敳,攵
整,攵
整,正
敵,攵
敵,舌
敶,攵
敷,攵
數,攵
敹,攵
敿,攵
斀,攵
斁,攵
斂,攵
斆,冂
文,乂
文,亠
斋,文
斋,而
斐,文
斐,非
斑,文
斑,王
料,斗
料,米
斛,斗
斛,角
斜,斗
斝,冖
斝,口
斝,斗
斞,斗
斟,斗
斠,斗
斡,斗
斣,斗
斥,丶
斥,斤
斧,斤
斧,父
斨,斤
斨,爿
斩,斤
斩,车
斪,句
斪,斤
斫,斤
斫,石
斬,斤
斬,车
断,斤
断,米
斮,斤
斯,其
斯,斤
新,斤
新,木
新,立
斸,斤
施,也
旁,亠
旁,方
旂,斤
旄,毛
旅,方
旅,氏
旇,皮
旉,方
旉,甫
旋,疋
旌,生
族,方
族,矢
旗,其
旗,方
既,旡
既,艮
旣,旡
旦,一
旦,日
旧,丨
旧,日
旨,匕
旨,曰
早,十
早,日
旬,勹
旬,日
旭,九
旭,日
旰,干
旰,日
旱,干
旱,日
旳,勺
旳,日
时,寸
时,日
旷,广
旷,日
旺,日
旺,王
旻,文
旻,日
昂,日
昃,日
昄,日
昆,日
昆,比
昇,升
昇,日
昈,戶
昈,日
昉,方
昉,日
昌,日
昌,曰
明,日
明,月
昏,日
昏,氏
昒,勿
昒,日
易,勿
易,日
昔,井
昔,日
昕,斤
昕,日
昙,云
昙,日
星,日
星,生
映,央
映,日
春,三
春,八
春,日
昧,日
昧,未
昨,乍
昨,日
昪,日
昫,句
昫,日
昭,日
是,曰
是,正
昱,日
昱,立
昳,失
昳,日
昴,日
昵,尼
昵,日
昷,日
昷,皿
昼,尺
昼,旦
显,业
显,日
時,寺
時,日
晃,日
晄,日
晉,日
晋,日
晌,向
晌,日
晏,日
晐,日
晒,日
晒,西
晓,尧
晓,日
晕,日
晙,日
晚,日
晛,日
晞,日
晟,日
晢,日
晤,日
晦,日
晧,日
晨,日
晨,辰
普,日
景,日
晰,日
晴,日
晴,青
晶,日
晷,日
晹,日
晹,易
智,日
晻,日
晾,日
暀,日
暂,日
暆,日
暇,日
暈,日
暉,日
暍,日
暏,日
暏,者
暑,日
暑,者
暖,日
暗,日
暗,音
暘,日
暤,日
暨,旦
暫,日
暮,日
暱,日
暴,共
暴,日
暴,水
暵,日
曀,日
曆,日
曈,日
曉,日
曏,日
曐,生
曙,日
曟,辰
曠,日
曨,日
曩,日
曫,日
曬,日
曰,一
曰,口
曳,丿
曳,申
曷,曰
書,者
書,聿
曹,日
曼,又
曼,曰
曼,罒
曾,八
曾,曰
替,夫
替,日
最,日
朁,曰
朅,去
有,又
有,月
朋,月
服,月
朐,句
朐,月
朓,月
朓,肉
朔,屰
朔,月
朗,月
朗,良
朙,月
望,亡
望,月
望,王
朝,十
朝,日
朝,月
期,其
期,月
朢,臣
朦,月
朧,月
未,一
未,木
末,一
末,木
本,一
本,木
札,乙
札,木
术,丶
术,木
朱,一
朱,丿
朱,木
朴,木
朵,木
朸,力
朸,木
机,木
朻,木
朽,木
朾,丁
朾,木
杀,乂
杀,木
杂,九
杂,木
权,又
权,木
杆,木
杇,亏
杇,木
杈,叉
杈,木
杉,彡
杉,木
李,子
李,木
杏,口
材,才
材,木
村,寸
村,木
杒,刃
杒,木
杓,勺
杓,木
杕,大
杕,木
杖,丈
杖,木
杗,亡
杗,木
杘,尸
杘,木
杙,弋
杙,木
杚,木
杚,气
杜,土
杜,木
杝,也
杝,木
杞,己
杞,木
束,木
杠,工
杠,木
条,夂
条,木
杨,木
杪,少
杪,木
杭,亢
杭,木
杮,木
杯,不
杯,木
杰,木
杰,灬
杵,午
杵,木
杶,屯
杶,木
杷,巴
杷,木
杸,木
杸,殳
杼,木
杽,手
杽,木
松,公
松,木
板,木
极,及
极,木
构,勾
构,木
枅,木
枇,木
枇,比
枉,木
枊,木
枋,方
枋,木
枌,分
枌,木
枎,夫
枎,木
枏,木
析,斤
析,木
枑,木
枒,木
枒,牙
枓,斗
枓,木
枕,木
枖,木
林,木
枚,攵
枚,木
果,木
果,田
枝,支
枝,木
枢,区
枢,木
枣,冫
枪,仓
枪,木
枫,木
枫,风
枮,占
枮,木
枯,古
枯,木
枰,平
枰,木
枱,台
枱,木
枲,台
枲,朩
枳,只
枳,木
枵,木
架,木
枷,木
枸,句
枸,木
枹,包
枹,木
枼,木
柀,木
柀,皮
柃,令
柃,木
柄,丙
柄,木
柅,尼
柅,木
柆,木
柆,立
柍,央
柍,木
柎,木
柏,木
