id	zi	alias	pinyin	is_radical	is_active	desc_en
11939	义	義	yi4	0	0	justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship
1026	乌	烏	wu1	0	0	abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2]/surname Wu
10606	乌	烏	wu1	0	0	crow/black
675	乐	樂	le4	0	0	surname Le
6333	乐	樂	le4	0	0	happy/cheerful/to laugh
1192	乐	樂	yue4	0	0	surname Yue
12467	乐	樂	yue4	0	0	music
838	乔	喬	qiao2	0	0	surname Qiao
8498	乔	喬	qiao2	0	0	tall
376	乘	乘	cheng2	0	0	surname Cheng
2257	乘	乘	cheng2	0	0	to ride/to mount/to make use of/to avail oneself of/to take advantage of/to multiply (math.)/Buddhist sect or creed
2267	乘	椉	cheng2	0	0	old variant of 乘[cheng2]
9315	乘	乘	sheng4	0	0	(archaic) four horse military chariot/(archaic) four/generic term for history books
11859	乙	乙	yi3	0	0	"""second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/second in order/letter """"B"""" or Roman """"II"""" in list """"A, B, C"""", or """"I, II, III"""" etc/second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°"""
12819	乙	乙	zhe2	0	0	turning stroke (in Chinese characters), aka 折[zhe2]
7375	乜	乜	mie1	0	0	used in 乜斜[mie1 xie5]/(Cantonese) what?
786	乜	乜	nie4	0	0	surname Nie
293	也	也	ye3	0	0	(adverb) also;  both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]
1123	也	也	ye3	0	0	surname Ye
1044	习	習	xi2	0	0	surname Xi
10780	习	習	xi2	0	0	(bound form) to practice/to study/habit/custom
929	书	書	shu1	0	0	abbr. for 書經|书经[Shu1 jing1]
9459	书	書	shu1	0	0	book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write
831	乾	乾	qian2	0	0	surname Qian
8397	乾	乹	qian2	0	0	old variant of 乾[qian2]
8398	乾	乾	qian2	0	0	one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)
8399	乾	亁	qian2	0	0	variant of 乾[qian2]
6983	乿	乿	luan4	0	0	archaic variant of 亂|乱[luan4]
13017	乿	乿	zhi4	0	0	archaic variant of 治[zhi4]
6340	了	了	le5	0	0	(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)
6628	了	了	liao3	0	0	to finish/to achieve/variant of 瞭|了[liao3]/to understand clearly
6631	了	瞭	liao3	0	0	(of eyes) bright/clear-sighted/to understand clearly
6638	了	瞭	liao4	0	0	unofficial variant of 瞭[liao4]
12231	予	予	yu2	0	0	(archaic) I/me
12294	予	予	yu3	0	0	(literary) to give
300	于	於	yu2	0	0	(of time or place) in;  at
1160	于	于	yu2	0	0	surname Yu
12232	于	于	yu2	0	0	to go/to take/sentence-final interrogative particle/variant of 於|于[yu2]
1197	云	雲	yun2	0	0	surname Yun/abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]
12491	云	云	yun2	0	0	(classical) to say
12507	云	雲	yun2	0	0	cloud/CL:朵[duo3]
823	亓	亓	qi2	0	0	surname Qi
8253	亓	亓	qi2	0	0	his/her/its/their
630	井	井	jing3	0	0	Jing, one of the 28 constellations of Chinese astronomy/surname Jing
5519	井	井	jing3	0	0	a well/CL:口[kou3]/neat/orderly
1096	亚	亞	ya4	0	0	Asia/Asian/Taiwan pr. [Ya3]
11491	亚	亞	ya4	0	0	second/next to/inferior/sub-/Taiwan pr. [ya3]
4921	亟	亟	ji2	0	0	urgent
8330	亟	亟	qi4	0	0	repeatedly/frequently
10389	亡	亡	wang2	0	0	to die/to lose/to be gone/to flee/deceased
10390	亡	亾	wang2	0	0	old variant of 亡[wang2]
650	亢	亢	kang4	0	0	surname Kang/Kang, one of the 28 constellations
5908	亢	亢	kang4	0	0	high/overbearing/excessive
7512	亩	畂	mu3	0	0	old variant of 畝|亩[mu3]
7513	亩	畆	mu3	0	0	old variant of 畝|亩[mu3]
7515	亩	畝	mu3	0	0	classifier for fields/unit of area equal to one fifteenth of a hectare
7516	亩	畮	mu3	0	0	old variant of 畝|亩[mu3]
10998	享	享	xiang3	0	0	to enjoy/to benefit/to have the use of
10999	享	亯	xiang3	0	0	old variant of 享[xiang3]
627	京	京	jing1	0	0	abbr. for Beijing/surname Jing/Jing ethnic minority
5497	京	京	jing1	0	0	capital city of a country/big/algebraic term for a large number (old)/artificial mound (old)
8553	亲	親	qin1	0	0	parent/one's own (flesh and blood)/relative/related/marriage/bride/close/intimate/in person/first-hand/in favor of/pro-/to kiss/(Internet slang) dear
8616	亲	親	qing4	0	0	parents-in-law of one's offspring
415	亶	亶	dan3	0	0	surname Dan
2808	亶	亶	dan3	0	0	sincere
7230	亹	亹	men2	0	0	mountain pass/defile (archaic)
10460	亹	亹	wei3	0	0	resolute
9272	什	什	shen2	0	0	what
9346	什	什	shi2	0	0	ten (used in fractions, writing checks etc)/assorted/miscellaneous
8188	仆	仆	pu1	0	0	to fall forward/to fall prostrate
8196	仆	僕	pu2	0	0	servant
2381	仇	仇	chou2	0	0	hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)
2396	仇	讎	chou2	0	0	variant of 仇[chou2]
2398	仇	讐	chou2	0	0	variant of 仇[chou2]
850	仇	仇	qiu2	0	0	surname Qiu
8648	仇	仇	qiu2	0	0	spouse/companion
402	从	從	cong2	0	0	surname Cong
2619	从	从	cong2	0	0	variant of 從|从[cong2]
2622	从	從	cong2	0	0	from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor
6986	仑	侖	lun2	0	0	to arrange
6990	仑	崘	lun2	0	0	variant of 崙|仑[lun2]
6991	仑	崙	lun2	0	0	used in 崑崙|昆仑[Kun1 lun2]
12546	仔	仔	zai3	0	0	variant of 崽[zai3]
13342	仔	仔	zi1	0	0	used in 仔肩[zi1 jian1]  creak
13375	仔	仔	zi3	0	0	meticulous/(of domestic animals or fowls) young
475	付	付	fu4	0	0	surname Fu
3740	付	付	fu4	0	0	to pay/to hand over to/classifier for pairs or sets of things
10878	仙	仙	xian1	0	0	immortal
10881	仙	僊	xian1	0	0	variant of 仙[xian1]
3893	仡	仡	ge1	0	0	used in 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou/Taiwan pr. [qi4]
11885	仡	仡	yi4	0	0	strong/brave
6715	令	令	ling2	0	0	used in 脊令[ji2 ling2]/used in 令狐[Ling2 hu2] (Taiwan pr. [ling4])
6757	令	令	ling3	0	0	classifier for a ream of paper
6760	令	令	ling4	0	0	to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/type of short song or poem
1130	以	以	yi3	0	0	abbr. for Israel 以色列[Yi3 se4 lie4]
11857	以	㕥	yi3	0	0	old variant of 以[yi3]
11858	以	㠯	yi3	0	0	old variant of 以[yi3]
11860	以	以	yi3	0	0	to use/by means of/according to/in order to/because of/at (a certain date or place)
1116	仰	仰	yang3	0	0	surname Yang
11664	仰	仰	yang3	0	0	to face upward/to look up/to admire/to rely on
