zi	desc	pinyin	nstrokes	alias	is_radical	is_zi	is_traditional	is_active	desc_en_2	desc_en														
称		cheng4		稱	0	1	0	1		variant of 秤[cheng4]/steelyard														
吃		chi1		吃	0	1	0	1		to eat; to consume/to eat at (a cafeteria etc)/to eradicate; to destroy/to absorb/to suffer (shock, injury, defeat etc)														
哧		chi1		哧	0	1	0	1		(onom.) giggling/breathing/tearing of paper, ripping of fabric etc														
吃		chi1		喫	0	1	0	1		variant of 吃[chi1]														
嗤		chi1		嗤	0	1	0	1		laugh at/jeer/scoff at/sneer at														
媸		chi1		媸	0	1	0	1		ugly woman														
彨		chi1		彲	0	1	0	1		variant of 螭[chi1]														
摛		chi1		摛	0	1	0	1		to spread (fame)/wield (pen)														
樆		chi1		樆	0	1	0	1		manjack or cordia (genus Cordia)														
瓻		chi1		瓻	0	1	0	1		large wine jar														
痴		chi1		痴	0	1	0	1		imbecile/sentimental/stupid/foolish/silly														
痴		chi1		癡	0	1	0	1		variant of 痴[chi1]														
眵		chi1		眵	0	1	0	1		discharge (rheum) from the mucous membranes of the eyes														
离		chi1		离	0	1	0	1		mythical beast (archaic)														
笞		chi1		笞	0	1	0	1		to whip with bamboo strips														
粚		chi1		粚	0	1	0	1		old variant of 黐[chi1]														
𫄨		chi1		絺	0	1	0	1		fine fibers of hemp/linen														
蚩		chi1		蚩	0	1	0	1		ignorant/worm														
螭		chi1		螭	0	1	0	1		dragon with horns not yet grown (in myth or heraldry)/variant of 魑[chi1]														
魑		chi1		魑	0	1	0	1		mountain demon														
鸱		chi1		鴟	0	1	0	1		scops owl														
黐		chi1		黐	0	1	0	1		birdlime														
匙		chi2		匙	0	1	0	1		spoon														
坻		chi2		坻	0	1	0	1		islet/rock in river														
墀		chi2		墀	0	1	0	1		courtyard														
弛		chi2		弛	0	1	0	1		to unstring a bow/to slacken/to relax/to loosen														
彽		chi2		彽	0	1	0	1		go to and fro														
持		chi2		持	0	1	0	1		to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control														
池		chi2		池	0	1	0	1		pond/reservoir/moat														
竾		chi2		竾	0	1	0	1		variant of 篪[chi2]														
箎		chi2		箎	0	1	0	1		bamboo flute with 8 holes														
篪		chi2		篪	0	1	0	1		bamboo flute with 7 or 8 holes														
蚳		chi2		蚳	0	1	0	1		ant eggs														
踟		chi2		踟	0	1	0	1		hesitating/undecided/hesitant														
遅		chi2		遅	0	1	0	1		Japanese variant of 遲|迟														
遟		chi2		遟	0	1	0	1		variant of 遲|迟[chi2]														
迟		chi2		遲	0	1	0	1		late/delayed/slow														
驰		chi2		馳	0	1	0	1		to run fast/to speed/to gallop/to disseminate/to spread														
侈		chi3		侈	0	1	0	1		extravagant/wasteful/exaggerating														
呎		chi3		呎	0	1	0	1		foot (unit of length equal to 0.3048 m)/old form of modern 英尺[ying1 chi3]														
奓		chi3		奓	0	1	0	1		old variant of 侈[chi3]														
尺		chi3		尺	0	1	0	1		a Chinese foot/one-third of a meter/a ruler/a tape-measure/one of the three acupoints for measuring pulse in Chinese medicine/CL:支[zhi1],把[ba3]														
耻		chi3		恥	0	1	0	1		shame/disgrace														
扡		chi3		扡	0	1	0	1		drag along		1												
欼		chi3		欼	0	1	0	1		drink														
歯		chi3		歯	0	1	0	1		Japanese variant of 齒|齿														
褫		chi3		褫	0	1	0	1		to strip/to deprive of/to discharge/to dismiss/to undress														
誃		chi3		誃	0	1	0	1		to separate														
豉		chi3		豉	0	1	0	1		salted fermented beans														
齿		chi3		齒	0	1	0	1		tooth/CL:顆|颗[ke1]														
傺		chi4		傺	0	1	0	1		to detain/to hinder														
敕		chi4		勅	0	1	0	1		variant of 敕[chi4]														
敕		chi4		勑	0	1	0	1		variant of 敕[chi4]														
叱		chi4		叱	0	1	0	1		to scold/shout at/to hoot at														
啻		chi4		啻	0	1	0	1		only (classical, usually follows negative or question words)/(not) just														
彳		chi4		彳	0	1	0	1		step with the left foot (Kangxi radical 60)/see also 彳亍[chi4 chu4]														
抶		chi4		抶	0	1	0	1		beat/flog														
敇		chi4		敇	0	1	0	1		Imperial command or edict														
敕		chi4		敕	0	1	0	1		imperial orders														
斥		chi4		斥	0	1	0	1		to blame/to reprove/to reprimand/to expel/to oust/to reconnoiter/(of territory) to expand/saline marsh														
炽		chi4		熾	0	1	0	1		to burn/to blaze/splendid/illustrious														
瘛		chi4		瘛	0	1	0	1		see 瘛瘲|瘛疭[chi4 zong4]														
翅		chi4		翄	0	1	0	1		variant of 翅[chi4]														
翅		chi4		翅	0	1	0	1		wing (of a bird or insect) (bound form)														
赤		chi4		赤	0	1	0	1		red/scarlet/bare/naked														
跮		chi4		跮	0	1	0	1		hasty walking														
踅		chi4		踅	0	1	0	1		walk with one leg														
饬		chi4		飭	0	1	0	1		(bound form) to put in order/to arrange properly/circumspect/well-behaved/to give (sb) an order														
饎		chi4		饎	0	1	0	1		food/to cook														
鶒		chi4		鶒	0	1	0	1		a kind of waterbird														
㳘		chong1		㳘	0	1	0	1		(literary) (of a mountain stream) to flow down/(onom.) sound of flowing water														
忡		chong1		忡	0	1	0	1		grieved/distressed/sad/uneasy														
憧		chong1		憧	0	1	0	1		irresolute/unsettled														
摏		chong1		摏	0	1	0	1		variant of 舂[chong1]														
冲		chong1		沖	0	1	0	1		(of water) to dash against/to mix with water/to infuse/to rinse/to flush/to develop (a film)/to rise in the air/to clash/to collide with														
涌		chong1		涌	0	1	0	1		(used in place names)														
翀		chong1		翀	0	1	0	1		soar														
舂		chong1		舂	0	1	0	1		to pound (grain)/beat														
艟		chong1		艟	0	1	0	1		see 艨艟, ancient leatherclad warship														
冲		chong1		衝	0	1	0	1		thoroughfare/to go straight ahead/to rush/to clash														
崇		chong2		崇	0	1	0	1		high/sublime/lofty/to esteem/to worship														
虫		chong2		虫	0	1	0	1		variant of 蟲|虫[chong2]														
虫		chong2		蟲	0	1	0	1		lower form of animal life, including insects, insect larvae, worms and similar creatures/CL:條|条[tiao2],隻|只[zhi1]/(fig.) person with a particular undesirable characteristic														
重		chong2		重	0	1	0	1		to repeat/repetition/again/re-/classifier: layer														
宠		chong3		寵	0	1	0	1		to love/to pamper/to spoil/to favor														
揰		chong4		揰	0	1	0	1		poke out/punch/push into														
冲		chong4		衝	0	1	0	1		powerful/vigorous/pungent/towards/in view of														
铳		chong4		銃	0	1	0	1		ancient firearm/gun														
抽		chou1		抽	0	1	0	1		to draw out/to pull out from in between/to remove part of the whole/(of certain plants) to sprout or bud/to whip or thrash														
搊		chou1		搊	0	1	0	1		pluck (stringed instrument)														
犨		chou1		犨	0	1	0	1		panting of cow/grunting of ox														
犫		chou1		犫	0	1	0	1		old variant of 犨[chou1]														
瘳		chou1		瘳	0	1	0	1		to convalesce/to recover/to heal														
𥬠		chou1		篘	0	1	0	1		basket for straining/to strain														
㐜		chou2		㐜	0	1	0	1		variant of 仇[chou2]														
仇		chou2		仇	0	1	0	1		hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)														
俦		chou2		儔	0	1	0	1		comrades/friends/companions														
嬦		chou2		嬦	0	1	0	1		(archaic) used in ladies' names														
帱		chou2		幬	0	1	0	1		canopy/curtain		 unexpectedly	1											
惆		chou2		惆	0	1	0	1		forlorn/vexed/disappointed														
愁		chou2		愁	0	1	0	1		to worry about														
㤽		chou2		懤	0	1	0	1		used in 懤懤|㤽㤽[chou2 chou2]														
椆		chou2		椆	0	1	0	1		species of tree resistant to cold weather														
燽		chou2		燽	0	1	0	1		salience/prominent/notable														
畴		chou2		疇	0	1	0	1		arable fields/cultivated field/class/category														
稠		chou2		稠	0	1	0	1		dense/crowded/thick/many														
䌷		chou2		紬	0	1	0	1		silk														
绸		chou2		綢	0	1	0	1		(light) silk/CL:匹[pi3]														
裯		chou2		裯	0	1	0	1		bed curtain/coverlet														
酬		chou2		詶	0	1	0	1		old variant of 酬[chou2]														
仇		chou2		讎	0	1	0	1		variant of 仇[chou2]														
雠		chou2		讎	0	1	0	1		to collate/to proofread		1												
仇		chou2		讐	0	1	0	1		variant of 仇[chou2]														
讐		chou2		讐	0	1	0	1		variant of 讎|雠[chou2]														
踌		chou2		躊	0	1	0	1		to pace back and forth/to hesitate/to waver														
酬		chou2		酧	0	1	0	1		variant of 酬[chou2]														
酬		chou2		酬	0	1	0	1		to entertain/to repay/to return/to reward/to compensate/to reply/to answer														
酬		chou2		醻	0	1	0	1		variant of 酬[chou2]														
鯈		chou2		鯈	0	1	0	1		Leuciscus macropus														
丑		chou3		丑	0	1	0	1		clown/2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox/ancient Chinese compass point: 30°														
丒		chou3		丒	0	1	0	1		variant of 醜|丑[chou3]														
偢		chou3		偢	0	1	0	1		to stare at														
吜		chou3		吜	0	1	0	1		(onom.)														
杻		chou3		杻	0	1	0	1		handcuffs														
杽		chou3		杽	0	1	0	1		a kind of wooden handcuffs														
瞅		chou3		瞅	0	1	0	1		(dialect) to look at														
瞅		chou3		矁	0	1	0	1		old variant of 瞅[chou3]														
丑		chou3		醜	0	1	0	1		shameful/ugly/disgraceful														
殠		chou4		殠	0	1	0	1		variant of 臭[chou4]														
臭		chou4		臭	0	1	0	1		stench/smelly/to smell (bad)/repulsive/loathsome/terrible/bad/severely/ruthlessly/dud (ammunition)														
䢺		chu1		䢺	0	1	0	1		(used in place names)														
出		chu1		出	0	1	0	1		to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to happen/(used after a verb to indicate an outward direction or a positive result)/classifier for dramas, plays, operas etc														
初		chu1		初	0	1	0	1		at first/(at the) beginning/first/junior/basic														
岀		chu1		岀	0	1	0	1		old variant of 出[chu1]														
樗		chu1		樗	0	1	0	1		simaroubaceae		 to concentrate	1											
䝙		chu1		貙	0	1	0	1		(archaic) animal resembling a tiger														
出		chu1		齣	0	1	0	1		variant of 出[chu1] (classifier for plays or chapters of classical novels)														
厨		chu2		㕑	0	1	0	1		old variant of 廚|厨[chu2]														
㛀		chu2		媰	0	1	0	1		pregnant woman (archaic)														
幮		chu2		幮	0	1	0	1		a kind of mosquito net/bed curtain														
厨		chu2		廚	0	1	0	1		kitchen														
橱		chu2		櫥	0	1	0	1		wardrobe/closet/cabinet														
篨		chu2		篨	0	1	0	1		crude bamboo mat														
耡		chu2		耡	0	1	0	1		hoe														
刍		chu2		芻	0	1	0	1		to mow or cut grass/hay/straw/fodder														
蒢		chu2		蒢	0	1	0	1		hedysarum														
蒭		chu2		蒭	0	1	0	1		old variant of 芻|刍[chu2]														
蜍		chu2		蜍	0	1	0	1		Bufo vulgaris/toad														
躇		chu2		躇	0	1	0	1		to hesitate														
蹰		chu2		躕	0	1	0	1		irresolute/undecided														
鉏		chu2		鉏	0	1	0	1		hoe														
锄		chu2		鋤	0	1	0	1		a hoe/to hoe or dig/to weed/to get rid of														
除		chu2		除	0	1	0	1		to get rid of/to remove/to exclude/to eliminate/to wipe out/to divide/except/not including														
鶵		chu2		鶵	0	1	0	1		variant of 雛|雏[chu2]														
储		chu3		儲	0	1	0	1		(bound form) to store/to save/to have in reserve/heir/Taiwan pr. [chu2]														
処		chu3		処	0	1	0	1		old variant of 處|处[chu3]		1												
杵		chu3		杵	0	1	0	1		pestle/to poke														
楚		chu3		楚	0	1	0	1		distinct/clear/orderly/pain/suffering/deciduous bush used in Chinese medicine (genus Vitex)/punishment cane (old)														
楮		chu3		楮	0	1	0	1		Broussonetia kasinoki														
础		chu3		礎	0	1	0	1		foundation/base														
禇		chu3		禇	0	1	0	1		erroneous form of 褚														
处		chu3		處	0	1	0	1		to reside/to live/to dwell/to be in/to be situated at/to stay/to get along with/to be in a position of/to deal with/to discipline/to punish														
亍		chu4		亍	0	1	0	1		to step with the right foot (used in 彳亍[chi4 chu4])														
俶		chu4		俶	0	1	0	1		to begin														
儊		chu4		儊	0	1	0	1		rough and rugged														
怵		chu4		怵	0	1	0	1		fearful/timid/to fear														
憷		chu4		憷	0	1	0	1		to be afraid														
歜		chu4		歜	0	1	0	1		(person)/angry														
畜		chu4		畜	0	1	0	1		livestock/domesticated animal/domestic animal														
矗		chu4		矗	0	1	0	1		lofty/upright														
绌		chu4		絀	0	1	0	1		crimson silk/deficiency/to stitch														
处		chu4		處	0	1	0	1		place/location/spot/point/office/department/bureau/respect/classifier for locations or items of damage: spot, point														
触		chu4		觸	0	1	0	1		to touch/to make contact with sth/to stir up sb's emotions														
豖		chu4		豖	0	1	0	1		a shackled pig														
閦		chu4		閦	0	1	0	1		crowd/transliteration of Sanskrit 'kso', e.g. Aksobhya Buddha 阿閦佛														
黜		chu4		黜	0	1	0	1		to dismiss from office/to expel														
欻		chua1		欻	0	1	0	1		(onom.) crashing sound														
揣		chuai1		揣	0	1	0	1		to put into (one's pockets, clothes)/Taiwan pr. [chuai3]														
搋		chuai1		搋	0	1	0	1		to knead/to rub/to clear a drain with a pump/to conceal sth in one's bosom/to carry sth under one's coat														
揣		chuai3		揣	0	1	0	1		to estimate/to guess/to figure/to surmise														
嘬		chuai4		嘬	0	1	0	1		(literary) to gnaw/to eat ravenously														
膪		chuai4		膪	0	1	0	1		used in 囊膪[nang1 chuai4]														
踹		chuai4		踹	0	1	0	1		to kick/to trample/to tread on														
巛		chuan1		巛	0	1	0	1		archaic variant of 川[chuan1]														
川		chuan1		川	0	1	0	1		(bound form) river/creek/plain/an area of level country														
氚		chuan1		氚	0	1	0	1		tritium 3H/radioactive isotope of hydrogen having 2 neutrons in its nucleus, so atomic weight 3														
瑏		chuan1		瑏	0	1	0	1		(jade)														
穿		chuan1		穿	0	1	0	1		to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread														
伝		chuan2		伝	0	1	0	1		Japanese variant of 傳|传														
传		chuan2		傳	0	1	0	1		to pass on/to spread/to transmit/to infect/to transfer/to circulate/to conduct (electricity)														
椽		chuan2		椽	0	1	0	1		beam/rafter/classifier for rooms														
船		chuan2		舩	0	1	0	1		variant of 船[chuan2]														
船		chuan2		船	0	1	0	1		boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]														
遄		chuan2		遄	0	1	0	1		to hurry/to go to and fro														
喘		chuan3		喘	0	1	0	1		to gasp/to pant/asthma														
舛		chuan3		舛	0	1	0	1		mistaken/erroneous/contradictory														
荈		chuan3		荈	0	1	0	1		Thea sinensis														
串		chuan4		串	0	1	0	1		to string together/to skewer/to connect wrongly/to gang up/to rove/string/bunch/skewer/classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across														
玔		chuan4		玔	0	1	0	1		jade ring														
钏		chuan4		釧	0	1	0	1		armlet/bracelet														
刱		chuang1		刱	0	1	0	1		variant of 創|创[chuang1]														
创		chuang1		創	0	1	0	1		a wound/cut/injury/trauma														
囱		chuang1		囪	0	1	0	1		variant of 窗[chuang1]														
窗		chuang1		牎	0	1	0	1		old variant of 窗[chuang1]														
窗		chuang1		牕	0	1	0	1		variant of 窗[chuang1]														
疮		chuang1		瘡	0	1	0	1		sore/skin ulcer														
窗		chuang1		窓	0	1	0	1		variant of 窗[chuang1]														
窗		chuang1		窗	0	1	0	1		window/CL:扇[shan4]														
窗		chuang1		窻	0	1	0	1		variant of 窗[chuang1]														
噇		chuang2		噇	0	1	0	1		(dialect) to eat or drink extravagantly														
幢		chuang2		幢	0	1	0	1		banner		 great/older (than another person)/eldest (as in 大姐[da4 jie3])/greatly	 freely	 fully/(dialect) father/(dialect) uncle (father's brother)	1									
床		chuang2		床	0	1	0	1		bed/couch/classifier for beds/CL:張|张[zhang1]														
床		chuang2		牀	0	1	0	1		variant of 床[chuang2]														
闯		chuang3		闖	0	1	0	1		to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)														
刱		chuang4		刱	0	1	0	1		variant of 創|创[chuang4]														
创		chuang4		剏	0	1	0	1		variant of 創|创[chuang4]														
创		chuang4		剙	0	1	0	1		variant of 創|创[chuang4]														
创		chuang4		創	0	1	0	1		to begin/to initiate/to inaugurate/to start/to create														
怆		chuang4		愴	0	1	0	1		mournful/sad/grieved/sorry														
吹		chui1		吹	0	1	0	1		to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through														
炊		chui1		炊	0	1	0	1		to cook food														
圌		chui2		圌	0	1	0	1		name of a mountain														
垂		chui2		垂	0	1	0	1		to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach														
埀		chui2		埀	0	1	0	1		old variant of 垂[chui2]														
捶		chui2		捶	0	1	0	1		to beat with the fist/to hammer/to cudgel														
捶		chui2		搥	0	1	0	1		variant of 捶[chui2]														
棰		chui2		棰	0	1	0	1		to flog/whip														
椎		chui2		椎	0	1	0	1		a hammer														
槌		chui2		槌	0	1	0	1		mallet/pestle/beetle (for wedging or ramming)														
棰		chui2		箠	0	1	0	1		variant of 棰[chui2]														
腄		chui2		腄	0	1	0	1		callus on the hand or foot/upper leg bone of horse or bird/buttocks														
锤		chui2		錘	0	1	0	1		hammer/to hammer into shape/weight (e.g. of a steelyard or balance)/to strike with a hammer														
锤		chui2		鎚	0	1	0	1		variant of 錘|锤[chui2]														
陲		chui2		陲	0	1	0	1		frontier		 well-nigh	1											
龡		chui4		龡	0	1	0	1		to blow (a flute)/archaic version of 吹														
春		chun1		旾	0	1	0	1		old variant of 春[chun1]														
春		chun1		春	0	1	0	1		spring (season)/gay/joyful/youthful/love/lust/life														
杶		chun1		杶	0	1	0	1		(tree)														
椿		chun1		椿	0	1	0	1		Chinese toon (Toona sinensis)/tree of heaven (Ailanthus altissima)/(literary metaphor) father														
瑃		chun1		瑃	0	1	0	1		(a kind of jade)														
萅		chun1		萅	0	1	0	1		old variant of 春[chun1]														
蝽		chun1		蝽	0	1	0	1		bedbug														
輴		chun1		輴	0	1	0	1		hearse														
䲠		chun1		鰆	0	1	0	1		see 鰆魚|䲠鱼[chun1 yu2]														
㝄		chun2		㝄	0	1	0	1		old variant of 純|纯[chun2]														
㝇		chun2		㝇	0	1	0	1		old variant of 鶉|鹑[chun2]														
㵮		chun2		㵮	0	1	0	1		clear water														
唇		chun2		唇	0	1	0	1		lip														
淳		chun2		淳	0	1	0	1		genuine/pure/honest														
淳		chun2		湻	0	1	0	1		old variant of 淳[chun2]														
漘		chun2		漘	0	1	0	1		shore														
纯		chun2		純	0	1	0	1		pure/simple/unmixed/genuine														
唇		chun2		脣	0	1	0	1		variant of 唇[chun2]														
莼		chun2		蒓	0	1	0	1		edible water plant/Brasenia schreberi														
莼		chun2		蓴	0	1	0	1		edible water plant/Brasenia schreberi														
醇		chun2		醇	0	1	0	1		alcohol/wine with high alcohol content/rich/pure/good wine/sterols														
醇		chun2		醕	0	1	0	1		old variant of 醇[chun2]														
𬭚		chun2		錞	0	1	0	1		copper drum														
鯙		chun2		鯙	0	1	0	1		Scomberomorus sinensis														
鹑		chun2		鶉	0	1	0	1		quail														
蠢		chun3		惷	0	1	0	1		variant of 蠢[chun3]/stupid														
蠢		chun3		蠢	0	1	0	1		stupid/sluggish/clumsy/to wiggle (of worms)/to move in a disorderly fashion														
戳		chuo1		戳	0	1	0	1		to jab/to poke/to stab/(coll.) to sprain/to blunt/to fuck (vulgar)/to stand/to stand (sth) upright/stamp/seal														
踔		chuo1		踔	0	1	0	1		to get ahead/to stride/to excel/Taiwan pr. [zhuo2]														
㲋		chuo4		㲋	0	1	0	1		ancient name for an animal similar to rabbit but bigger														
啜		chuo4		啜	0	1	0	1		(literary) to drink/to sip/to sob														
婥		chuo4		婥	0	1	0	1		weak/delicate														
婼		chuo4		婼	0	1	0	1		recalcitrant														
惙		chuo4		惙	0	1	0	1		mournful/uncertain														
擉		chuo4		擉	0	1	0	1		to pierce/to break through														
歠		chuo4		歠	0	1	0	1		(literary) to drink/to sip/gruel/soup														
畷		chuo4		畷	0	1	0	1		raised path between fields														
磭		chuo4		磭	0	1	0	1		big lip														
缀		chuo4		綴	0	1	0	1		variant of 輟|辍[chuo4]														
绰		chuo4		綽	0	1	0	1		generous/ample/wide/spacious/well-off/to grip														
辍		chuo4		輟	0	1	0	1		to stop (before completion)/to cease/to suspend														
辵		chuo4		辵	0	1	0	1		to walk (side part of split character)		 however	 still/merely	 only	 just	1								
辶		chuo4		辶	0	1	0	1		to walk (side part of split character)														
逴		chuo4		逴	0	1	0	1		apparent/distant/highly														
醊		chuo4		醊	0	1	0	1		pour libation on ground														
龊		chuo4		齪	0	1	0	1		dirty/filthy/base/mean/narrow-minded/petty														
偨		ci1		偨	0	1	0	1		uneven														
刺		ci1		刺	0	1	0	1		(onom.) whoosh														
呲		ci1		呲	0	1	0	1		(coll.) to scold/to rebuke														
差		ci1		差	0	1	0	1		used in 參差|参差[cen1 ci1]														
疵		ci1		疵	0	1	0	1		blemish/flaw/defect														
骴		ci1		骴	0	1	0	1		a putrid carcass														
词		ci2		䛐	0	1	0	1		old variant of 詞|词[ci2]														
慈		ci2		慈	0	1	0	1		compassionate/gentle/merciful/kind/humane														
瓷		ci2		瓷	0	1	0	1		chinaware/porcelain/china														
磁		ci2		磁	0	1	0	1		magnetic/magnetism/porcelain														
祠		ci2		祠	0	1	0	1		shrine/to offer a sacrifice														
糍		ci2		糍	0	1	0	1		sticky rice cake		1												
茨		ci2		茨	0	1	0	1		Caltrop or puncture vine (Tribulus terrestris)/to thatch (a roof)														
词		ci2		詞	0	1	0	1		word/statement/speech/lyrics/CL:組|组[zu3],個|个[ge4]/a form of lyric poetry, flourishing in the Song dynasty 宋朝|宋朝[Song4 chao2]/CL:首[shou3]														
辞		ci2		辤	0	1	0	1		old variant of 辭|辞[ci2]														
辞		ci2		辭	0	1	0	1		to resign/to dismiss/to decline/to take leave/ballad (archaic poetic genre)/variant of 詞|词[ci2]														
雌		ci2		雌	0	1	0	1		female/Taiwan pr. [ci1]														
餈		ci2		餈	0	1	0	1		fried rice cake														
𪉈		ci2		鴜	0	1	0	1		(a kind of waterbird)														
鹚		ci2		鶿	0	1	0	1		cormorant														
鹚		ci2		鷀	0	1	0	1		variant of 鶿|鹚[ci2]														
佌		ci3		佌	0	1	0	1		petty/wretched														
泚		ci3		泚	0	1	0	1		clear/bright and brilliant														
玼		ci3		玼	0	1	0	1		clear (as in a gem)														
跐		ci3		跐	0	1	0	1		to trample/to step/to walk on the ball of the foot														
伺		ci4		伺	0	1	0	1		to wait on														
佽		ci4		佽	0	1	0	1		nimble/to help														
刺		ci4		刺	0	1	0	1		thorn/sting/thrust/to prick/to pierce/to stab/to assassinate/to murder														
刾		ci4		刾	0	1	0	1		old variant of 刺[ci4]														
朿		ci4		朿	0	1	0	1		stab														
次		ci4		次	0	1	0	1		next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time														
絘		ci4		絘	0	1	0	1		ancient tax in the form of bales of cloth														
莿		ci4		莿	0	1	0	1		Urtica thunbergiana														
蛓		ci4		蛓	0	1	0	1		(literary) caterpillar														
赐		ci4		賜	0	1	0	1		to confer/to bestow/to grant/Taiwan pr. [si4]														
匆		cong1		匆	0	1	0	1		hurried/hasty														
囱		cong1		囪	0	1	0	1		chimney														
匆		cong1		怱	0	1	0	1		variant of 匆[cong1]														
匆		cong1		悤	0	1	0	1		variant of 匆[cong1]														
枞		cong1		樅	0	1	0	1		fir tree														
熜		cong1		熜	0	1	0	1		chimney (old)														
瑽		cong1		瑽	0	1	0	1		tinkling of jade pendants														
璁		cong1		璁	0	1	0	1		stone similar to jade														
聡		cong1		聡	0	1	0	1		old variant of 聰|聪[cong1]														
聦		cong1		聦	0	1	0	1		variant of 聰|聪[cong1]														
聪		cong1		聰	0	1	0	1		quick at hearing/wise/clever/sharp-witted/intelligent/acute														
苁		cong1		蓯	0	1	0	1		Boschniakia glabra														
葱		cong1		蔥	0	1	0	1		scallion/green onion														
鍐		cong1		鍐	0	1	0	1		a headstall, ornament on a bridle														
鏦		cong1		鏦	0	1	0	1		spear/to plunge (with spear)														
騘		cong1		騘	0	1	0	1		old variant of 驄|骢[cong1]														
骢		cong1		驄	0	1	0	1		buckskin horse														
从		cong2		从	0	1	0	1		variant of 從|从[cong2]														
丛		cong2		叢	0	1	0	1		cluster/collection/collection of books/thicket														
従		cong2		従	0	1	0	1		old variant of 從|从[cong2]														
从		cong2		從	0	1	0	1		from/through/via/to follow/to obey/to engage in (an activity)/never (in negative sentence)/(Taiwan pr. [zong4]) retainer/assistant/auxiliary/subordinate/related by common paternal grandfather or earlier ancestor														
悰		cong2		悰	0	1	0	1		joy		 to lie horizontally/to fail	 to go bankrupt/to overthrow/to change (trains or buses)/to move around/to resell at a profit	1										
淙		cong2		淙	0	1	0	1		noise of water														
漎		cong2		漎	0	1	0	1		a place where small streams flow into a large one														
潀		cong2		潀	0	1	0	1		gather/flow into (water)/sound of waters flowing together														
琮		cong2		琮	0	1	0	1		jade tube with round hole and rectangular sides, used ceremonially in ancient times														
賨		cong2		賨	0	1	0	1		tribute paid by Han dynasty tribes														
凑		cou4		湊	0	1	0	1		to gather together, pool or collect/to happen by chance/to move close to/to exploit an opportunity														
腠		cou4		腠	0	1	0	1		the tissue between the skin and the flesh														
辏		cou4		輳	0	1	0	1		to converge/hub of wheel														
粗		cu1		粗	0	1	0	1		coarse/rough/thick (for cylindrical objects)/unfinished/vulgar/rude/crude														
粗		cu1		觕	0	1	0	1		variant of 粗[cu1]														
麁		cu1		麁	0	1	0	1		variant of 麤|粗[cu1]		 to dump/inverted	 upside down	 reversed/to go backward/contrary to what one might expect	 but	 yet	1							
麄		cu1		麄	0	1	0	1		variant of 粗[cu1]		 to go to/to (a place)	 until (a time)	 up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate	 thoughtful	 thorough	1							
粗		cu1		麤	0	1	0	1		remote/distant/variant of 粗[cu1]														
徂		cu2		徂	0	1	0	1		to go/to reach														
殂		cu2		殂	0	1	0	1		to die														
皻		cu3		皻	0	1	0	1		chapped skin														
䠞		cu4		䠞	0	1	0	1		variant of 蹙[cu4]														
促		cu4		促	0	1	0	1		urgent/hurried/to urge/to promote/to urge haste/close/intimate														
卒		cu4		卒	0	1	0	1		variant of 猝[cu4]														
瘯		cu4		瘯	0	1	0	1		(skin disease)														
簇		cu4		簇	0	1	0	1		crowded/framework for silkworms/gather foliage/bunch/classifier for bunched objects														
蔟		cu4		蔟	0	1	0	1		collect/frame for silk worm/nest														
踤		cu4		踤	0	1	0	1		to butt against														
踧		cu4		踧	0	1	0	1		carefully/level/smooth														
蹙		cu4		蹙	0	1	0	1		to knit (one's brows)/wrinkled (of brows)/to hesitate/distressed														
蹴		cu4		蹴	0	1	0	1		carefully/to kick/to tread on/to stamp														
蹴		cu4		蹵	0	1	0	1		variant of 蹴[cu4]														
酢		cu4		酢	0	1	0	1		variant of 醋[cu4]														
醋		cu4		醋	0	1	0	1		vinegar/jealousy (in love rivalry)														
撺		cuan1		攛	0	1	0	1		rush/stir up/throw/fling/hurry/rage														
汆		cuan1		汆	0	1	0	1		quick-boil/to boil for a short time														
鋑		cuan1		鋑	0	1	0	1		to engrave or carve, as a block for printing														
镩		cuan1		鑹	0	1	0	1		ice spud (aka ice chisel) with a pointy tip/to break a hole in ice (for ice fishing etc) using an ice spud														
攒		cuan2		攢	0	1	0	1		to bring together														
爨		cuan4		爨	0	1	0	1		cooking-stove/to cook														
窾		cuan4		窾	0	1	0	1		to conceal/to hide		1												
窜		cuan4		竄	0	1	0	1		to flee/to scuttle/to exile or banish/to amend or edit														
篡		cuan4		篡	0	1	0	1		to seize/to usurp														
篡		cuan4		簒	0	1	0	1		old variant of 篡[cuan4]														
