zi	desc	pinyin	nstrokes	alias	is_radical	is_zi	is_traditional	is_active	desc_en_2	desc_en														
溁		ying2		濚	0	1	0		 to eddy/(used in place names)	(archaic) (of water) to swirl														
诳		kuang2		誑	0	1	0		 to dupe/falsehood	to deceive														
泄		xie4		洩	0	1	0		 to discharge	(bound form) to leak out														
泯		min3		泯	0	1	0		 to die out	(bound form) to vanish														
逝		shi4		逝	0	1	0		 to die	(of flowing water or time) to pass by/to pass away														
想		xiang3		想	0	1	0		 to devise/to think (that)	to think (about)/to think of														
忺		xian1		忺	0	1	0		 to desire/(literary) pleased	(literary) to want														
送		song4		送	0	1	0		 to deliver	to send														
阿		e1		阿	0	1	0		 to curry favor with	(literary) to flatter														
肯		ken3		肯	0	1	0		 to consent/to be willing to	to agree														
干		gan1		干	0	1	0		 to concern oneself with/one of the ten heavenly stems 天干[tian gan1]/(archaic) shield	(bound form) to have to do with														
综		zong1		綜	0	1	0		 to combine/Taiwan pr. [zong4]	(bound form) to synthesize														
拢		long3		攏	0	1	0		 to collect/to approach	to gather together														
掇		duo1		掇	0	1	0		 to collect	to pick up														
校		jiao4		校	0	1	0		 to collate	to check														
倒		dao3		倒	0	1	0		 to collapse	to fall														
要		yao1		要	0	1	0		 to coerce	(bound form) to demand														
諆		qi1		諆	0	1	0		 to cheat	to deceive														
赶		gan3		趕	0	1	0		 to catch up with/to hurry	to overtake														
拎		lin1		拎	0	1	0		 to carry in one's hand/Taiwan pr. [ling1]	to lift up														
获		huo4		獲	0	1	0		 to capture/(literary) to get	(literary) to catch														
宰		zai3		宰	0	1	0		 to butcher	to slaughter														
崒		cui4		崒	0	1	0		 to bunch up	to come together														
鞠		ju1		鞠	0	1	0		 to bow/leather ball used in ancient times/(literary) to bring up	to incline (one's torso)														
龁		he2		齕	0	1	0		 to bite	(literary) to gnaw														
揍		zou4		揍	0	1	0		 to beat (sb)/(coll.) to smash (sth)	to hit														
溃		kui4		潰	0	1	0		 to be overrun	(bound form) (of floodwaters) to break through a dam or dike/(bound form) to break through (a military encirclement)/(bound form) to be routed														
爱		ai4		愛	0	1	0		 to be fond of	to love														
厌		yan4		厭	0	1	0		 to be fed up with/(literary) to satiate	(bound form) to loathe														
俍		liang2		俍	0	1	0		 to be expert in/(literary) skilled craftsman	(literary) to be good at														
在		zai4		在	0	1	0		 to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)	to exist														
洗		xi3		洗	0	1	0		 to bathe/to develop (photographs)/to shuffle (cards etc)/to erase (a recording)	to wash														
增		zeng1		增	0	1	0		 to augment	(bound form) to increase														
袭		xi2		襲	0	1	0		 to attack/(bound form) to continue the pattern	(bound form) to raid														
附		fu4		附	0	1	0		 to attach/to be close to	to add														
到		dao4		到	0	1	0		 to arrive/to leave for	to reach														
企		qi3		企	0	1	0		 to anticipate	(bound form) to stand on tiptoe and look														
销		xiao1		銷	0	1	0		 to annul/to sell/to expend	to melt (metal)/to cancel														
僝		chan2		僝	0	1	0		 to abuse	to revile														
摄		she4		攝	0	1	0		 to absorb	(bound form) to take in														
舍		she3		捨	0	1	0		 to abandon/to give alms	to give up														
捐		juan1		捐	0	1	0		 to abandon/to contribute	to relinquish														
屉		ti4		屜	0	1	0		 tier	drawer														
噔		deng1		噔	0	1	0		 thump	(onom.) thud														
麇		qun2		麇	0	1	0		 thronging	(literary) in large numbers														
此		ci3		此	0	1	0		 these	this														
有		you3		有	0	1	0		 there is/(bound form) having	to have														
则		ze2		則	0	1	0		 then/(bound form) standard	(literary) (conjunction used to express contrast with a previous clause) but														
就		jiu4		就	0	1	0		 then/(after a clause of action) as soon as	(after a suppositional clause) in that case														
脐		qi2		臍	0	1	0		 the umbilicus/(bound form) the belly flap of a crab	(bound form) the navel														
趺		fu1		趺	0	1	0		 tarsus	instep														
的		di4		的	0	1	0		 target	(bound form) bull's-eye														
才		cai2		才	0	1	0		 talent/sb of a certain type/a capable individual/then and only then/just now/(before an expression of quantity) only	ability														
台		tai2		檯	0	1	0		 table	desk														
泡		pao1		泡	0	1	0		 swollen	puffed														
倔		jue4		倔	0	1	0		 surly	gruff														
倘		tang3		倘	0	1	0		 supposing	if														
猝		cu4		猝	0	1	0		 suddenly	abruptly														
憃		chong1		憃	0	1	0		 stupid	foolish														
层		ceng2		層	0	1	0		 stratum/floor (of a building)	to pile on top of one another/layer														
硬		ying4		硬	0	1	0		 stiff	hard														
柯		ke1		柯	0	1	0		 stem	(literary) branch														
馁		nei3		餒	0	1	0		 starving/(bound form) dispirited/(literary) (of fish) putrid	(bound form) hungry														
吱		zi1		吱	0	1	0		 squeak	(onom.) chirp														
魂		hun2		魂	0	1	0		 spirit	soul														
怊		chao1		怊	0	1	0		 sorrowful	(literary) sad														
疼		teng2		疼	0	1	0		 sore/to love dearly	(it) hurts														
嬛		qiong2		嬛	0	1	0		 solitary (variant of 惸[qiong2]) (variant of 煢|茕[qiong2])	(literary) alone														
砾		li4		礫	0	1	0		 small stone	(bound form) gravel														
略		lu:e4		略	0	1	0		 sketchy/outline	brief														
岸		an4		岸	0	1	0		 shore	bank														
序		xu4		序	0	1	0		 sequence/(bound form) introductory	(bound form) order														
滓		zi3		滓	0	1	0		 sediment	dregs		1												
伭		xian2		伭	0	1	0		 ruthless/(literary) dark red	(literary) cruel														
尻		kao1		尻	0	1	0		 rump	(literary) buttocks														
碛		qi4		磧	0	1	0		 rocks in shallow water	moraine														
敃		min3		敃	0	1	0		 robust	strong														
右		you4		右	0	1	0		 right-hand side/(bound form) (politics) right of center/(bound form) (old) west/(literary) the right side as the side of precedence	(bound form) right														
是		shi4		是	0	1	0		 right	to be (followed by substantives only)/correct														
辔		pei4		轡	0	1	0		 reins	bridle														
肛		gang1		肛	0	1	0		 rectum	anus														
光		guang1		光	0	1	0		 ray (CL:道[dao4])/bright	light														
好		hao3		好	0	1	0		 proper/all right!/(before a verb) easy to/(before a verb) good to/(before an adjective for exclamatory effect) so/(verb complement indicating completion)/(of two people) close	good/appropriate														
嶟		zun1		嶟	0	1	0		 precipitous	(literary) (of terrain) steep														
㞎		ba3		㞎	0	1	0		 poo/(dialect) to piss	(dialect) piss														
甭		beng2		甭	0	1	0		 please don't	(contraction of 不用[bu4 yong4]) need not														
枢		shu1		樞	0	1	0		 pivot (usu. fig.)	(bound form) hinge														
咽		yan1		咽	0	1	0		 pharynx/narrow pass	throat														
殆		dai4		殆	0	1	0		 perilous/(literary) almost	(literary) dangerous														
圈		juan4		圈	0	1	0		 pen	livestock enclosure														
裹		guo3		裹	0	1	0		 parcel	to wrap around/bundle														
总		zong3		總	0	1	0		 overall/to sum up/in every case	general														
社		she4		社	0	1	0		 organization	(bound form) society														
石		dan4		石	0	1	0		 one hundred liters/ancient pr. [shi2]	dry measure for grain equal to ten dou 斗[dou3]														
谶		chen4		讖	0	1	0		 omen	prophecy														
店		dian4		店	0	1	0		 old-style hotel/(bound form) shop	inn														
差		chai1		差	0	1	0		 official post	to send (on an errand)/(archaic) person sent on such an errand/job														
膗		chuai2		膗	0	1	0		 obese	(dialect) grossly overweight														
庶		shu4		庶	0	1	0		 numerous/(bound form) pertaining to a concubine (contrasted with 嫡[di2])	(bound form) ordinary														
木		mu4		木	0	1	0		 numb	(bound form) tree/(bound form) wood/unresponsive														
非		fei1		非	0	1	0		 not/wrong	to not be														
不		bu4		不	0	1	0		 not so/(bound form) not	no														
没		mei2		沒	0	1	0		 not	(negative prefix for verbs) have not														
粉		fen3		粉	0	1	0		 noodles or pasta made from any kind of flour/to turn to powder/(dialect) to whitewash/white/pink/(suffix) fan (abbr. for 粉絲|粉丝[fen3 si1])/to be a fan of	powder/cosmetic face powder/food prepared from starch														
敏		min3		敏	0	1	0		 nimble	quick														
国		guo2		國	0	1	0		 nation	country														
吾		wu2		吾	0	1	0		 my	(old) I														
